"","SI_1_2.1","SI_1_2.2","SI_1_2.3","SI_1_2.4","SI_1_2.5","SI_1_2.6","SI_1_2.7","SI_1_2.8","SI_1_2.9","SI_1_2.10","SI_1_2.11","SI_1_2.12","SI_1_2.13","SI_1_2.14","SI_1_2.15","SI_1_2.16","SI_1_2.17","SI_1_2.18","SI_1_2.19","SI_1_2.20","SI_1_2.21","SI_1_2.22","SI_1_2.23","SI_1_2.24","SI_1_2.25","SI_1_2.26","SI_1_2.27","SI_1_2.28","SI_1_2.29","SI_1_2.30","SI_1_2.31","SI_1_2.32","SI_1_2.33","SI_1_2.34","SI_1_2.35","SI_1_2.36","SI_1_2.37","SI_1_2.38","SI_1_2.39","SI_1_2.40","SI_1_2.41","SI_1_2.42","SI_1_2.43"
"22 JUL2015",0.054,0.397,0.865,2.072,15.354,2.596,"_",-0.555,1.277,1.301,1.577,0.749,134.110,"_",1.186,1.743,1.658,11.846,11.720,26.384,"_","_","_",20.311,"_",-8.400,15.546,17.491,24.559,3.091,0.157,9.200,18.010,11464.600,17.540,1.090200,-10.205,134.980000,-7.058,"_","_","_",75.957
"23 JUL2015",0.053,0.369,0.858,2.006,15.299,2.530,3.070,-0.778,1.229,1.284,1.588,0.733,134.660,"_",1.187,1.751,1.644,11.437,11.308,26.240,"_","_","_",19.781,"_",-11.017,15.516,17.404,24.306,1.542,-0.511,8.664,18.527,11429.600,16.770,1.099900,-9.406,136.150000,-6.252,"_","_","_",76.134
"24 JUL2015","_",0.389,0.814,1.985,15.347,2.483,3.026,-1.106,1.206,1.248,1.571,0.714,134.960,"_","_",1.711,1.625,10.149,10.018,26.379,"_","_","_",18.290,"_",-13.766,14.415,15.725,23.647,1.354,-1.428,7.444,17.729,11299.800,16.430,1.093900,-9.900,135.700000,-6.562,"_","_","_",76.120
"27 JUL2015",0.040,0.381,0.859,1.995,15.168,2.464,2.975,-0.846,1.239,1.250,1.570,0.677,134.750,"_",1.200,1.729,1.615,8.508,8.424,26.175,"_","_","_",16.762,"_",-15.023,11.654,12.757,19.973,0.209,-2.146,6.413,16.614,11154.800,19.070,1.105800,-8.920,136.230000,-6.197,"_","_","_",76.294
"28 JUL2015",0.040,0.399,0.882,1.953,15.132,2.486,"_",-0.345,1.218,1.249,1.555,0.719,134.830,"_",1.200,1.731,1.677,9.498,9.464,28.284,"_","_","_",17.414,"_",-14.669,12.957,13.955,22.702,-0.928,-1.082,7.457,16.493,11248.400,19.160,1.102500,-9.192,136.460000,-6.039,"_","_","_",76.225
"29 JUL2015",0.035,0.361,0.922,1.966,15.153,"_",2.998,-0.366,1.228,1.263,1.566,0.726,134.640,1.020,1.205,1.749,1.674,9.814,9.761,26.275,"_","_","_",17.487,"_",-12.686,13.638,14.342,22.286,-0.165,-0.402,7.932,16.344,11266.100,19.820,1.103000,-9.151,136.500000,-6.011,"_","_","_",76.201
"30 JUL2015",0.023,0.414,0.918,2.006,13.645,2.496,3.032,-0.238,1.218,1.310,1.625,0.689,135.160,"_",1.217,1.686,1.594,8.729,8.649,25.503,"_","_","_",17.021,"_",-13.103,13.900,14.804,23.060,0.989,-0.433,8.292,17.604,11143.600,18.960,1.095500,-9.769,136.250000,-6.183,"_","_","_",76.097
"31 JUL2015",0.023,0.331,0.965,1.935,13.459,"_",2.998,-0.246,1.224,1.286,1.591,0.679,135.880,"_",1.217,1.769,1.655,8.812,8.767,25.483,"_","_","_",17.099,"_",-13.469,14.437,15.333,23.806,1.565,-0.747,8.282,17.962,11168.900,19.480,1.096700,-9.670,136.340000,-6.121,"_","_","_",76.138
"03 AGO2015","_",0.330,0.922,1.903,12.871,2.397,2.914,-0.266,1.215,1.268,1.550,0.660,135.490,"_","_",1.760,1.657,9.599,9.596,25.547,"_","_","_",19.093,"_",-14.954,15.540,16.707,24.734,1.983,-1.262,8.009,17.749,11270.100,18.480,1.095100,-9.801,136.070000,-6.307,"_","_","_",76.117
"04 AGO2015","_",0.386,0.869,1.906,16.221,2.358,2.914,-0.100,1.289,1.244,1.539,0.633,135.720,"_","_",1.824,1.704,8.523,8.473,25.110,"_","_","_",18.536,"_",-14.251,15.029,16.833,23.466,1.866,-1.528,7.802,17.590,11144.300,17.730,1.097300,-9.620,136.070000,-6.307,"_","_","_",76.126
"05 AGO2015","_",0.379,0.964,1.966,16.375,2.421,2.905,0.220,1.286,1.257,1.564,0.682,134.220,"_","_",1.851,1.704,9.782,9.728,25.270,"_","_","_",19.712,"_",-13.783,16.855,18.671,25.772,1.835,-1.586,8.528,18.127,11282.900,16.600,1.088300,-10.362,135.230000,-6.886,"_","_","_",75.981
"06 AGO2015","_",0.368,0.942,1.993,16.322,2.468,"_",0.054,1.289,1.243,1.558,0.721,135.120,"_","_",1.862,1.707,9.538,9.476,"_","_","_","_",19.801,"_",-15.057,16.592,18.148,25.243,2.838,-2.263,6.765,18.416,11255.700,16.580,1.088500,-10.345,135.940000,-6.397,"_","_","_",76.074
"07 AGO2015","_",0.345,0.935,2.014,16.331,"_","_",-0.193,1.320,1.231,1.528,0.703,135.400,"_","_",1.875,1.706,8.790,8.743,25.192,"_","_","_",18.439,"_",-15.594,15.617,17.187,24.685,2.757,-2.523,6.493,18.760,11178.700,16.850,1.094100,-9.884,136.430000,-6.059,"_","_","_",76.169
"10 AGO2015","_",0.331,0.901,1.963,16.329,2.414,2.987,0.271,1.302,1.214,1.533,0.672,135.390,"_","_",1.889,1.717,10.037,10.041,25.311,"_","_","_",19.284,"_",-15.337,16.797,18.349,26.060,2.321,-1.166,7.723,19.242,11311.000,17.750,1.096000,-9.727,136.670000,-5.894,"_","_","_",76.224
"11 AGO2015","_",0.310,0.893,1.913,16.236,2.372,2.895,0.021,1.260,1.225,1.525,0.662,135.770,"_","_",1.900,1.707,8.561,8.491,25.484,"_","_","_",18.408,"_",-17.554,14.583,15.176,24.650,2.591,-2.358,6.350,18.738,11151.500,18.740,1.105500,-8.945,137.990000,-4.985,"_","_","_",76.352
"12 AGO2015","_",0.322,0.924,1.891,16.255,2.358,2.845,-0.080,1.282,1.179,1.488,0.636,134.700,"_","_",1.878,1.719,5.946,5.843,26.156,"_","_","_",16.073,"_",-18.943,10.742,11.413,20.964,1.499,-2.360,6.510,16.859,10894.800,26.820,1.115500,-8.121,138.450000,-4.668,"_","_","_",76.491
"13 AGO2015","_",0.356,0.861,1.959,16.230,"_",2.922,0.539,1.323,1.227,1.535,0.643,135.360,"_","_",1.874,1.701,6.537,6.502,25.983,"_","_","_",16.736,"_",-19.229,11.750,12.331,22.849,0.078,-2.327,6.282,18.021,10937.100,23.670,1.110900,-8.500,138.230000,-4.820,"_","_","_",76.391
"14 AGO2015","_",0.319,0.828,1.922,16.269,2.389,"_",0.911,1.304,1.234,1.558,0.621,135.520,"_","_",1.921,1.708,5.862,5.835,25.952,"_","_","_",16.623,"_",-18.663,10.952,12.030,22.284,0.034,-1.939,6.592,17.585,10888.700,23.070,1.117100,-7.989,138.700000,-4.496,"_","_","_",76.492
"17 AGO2015","_",0.371,0.900,1.932,16.287,2.408,"_",0.368,1.323,1.231,1.551,0.643,135.600,"_","_",1.889,1.728,6.013,6.039,25.952,"_","_","_",16.722,"_",-19.537,11.170,11.573,23.122,-0.234,-1.559,7.509,18.162,10909.100,26.080,1.110000,-8.574,138.220000,-4.827,"_","_","_",76.391
"18 AGO2015",0.031,0.376,0.873,1.939,16.328,2.406,2.875,0.660,1.326,1.237,1.549,0.638,134.820,"_",1.199,1.894,1.711,6.014,6.016,25.945,"_","_","_",17.818,"_",-20.863,11.090,11.324,23.026,-0.240,-1.749,6.826,17.785,10901.700,24.140,1.106000,-8.904,137.440000,-5.364,"_","_","_",76.266
"19 AGO2015",0.038,0.375,0.970,1.965,16.327,"_",2.936,0.571,1.342,1.232,1.558,0.645,134.860,"_",1.192,1.895,1.715,4.895,4.892,25.619,"_","_","_",16.890,"_",-22.417,9.007,8.940,20.847,-0.606,-2.661,5.975,15.884,10796.800,23.830,1.104100,-9.060,137.310000,-5.453,"_","_","_",76.254
"20 AGO2015",0.039,0.393,0.922,1.935,16.146,2.428,"_",0.468,1.364,1.181,1.521,0.590,135.050,"_",1.191,1.857,1.705,3.015,2.991,25.924,"_","_","_",14.763,"_",-23.143,6.580,6.391,17.708,-2.477,-4.670,2.986,14.800,10595.000,28.000,1.118300,-7.891,138.500000,-4.634,"_","_","_",76.494
"21 AGO2015",0.038,0.425,0.975,1.992,16.081,2.465,2.996,0.740,1.429,1.142,1.496,0.590,134.810,"_",1.192,1.855,1.708,0.009,-0.076,26.499,"_","_","_",12.191,"_",-25.960,3.205,3.253,14.382,-3.019,-7.649,-0.634,11.375,10401.000,32.520,1.128100,-7.083,138.400000,-4.703,"_","_","_",76.628
"24 AGO2015",0.040,0.445,1.010,1.996,16.055,2.461,2.995,0.275,1.481,1.205,1.414,0.554,134.380,1.120,1.190,1.855,1.724,-5.037,-5.087,29.114,"_","_","_",7.406,"_",-31.257,-2.321,-1.602,7.566,-5.764,-10.951,-4.430,6.246,9743.000,31.870,1.149700,-5.304,137.800000,-5.116,"_","_","_",76.889
"25 AGO2015",0.044,0.484,1.018,2.054,16.131,2.499,3.052,0.248,1.355,1.176,1.385,0.708,133.670,"_",1.186,1.826,1.696,-1.595,-1.596,30.422,"_","_","_",10.750,"_",-29.869,2.275,3.290,13.874,-10.162,-12.100,-4.847,2.040,10151.600,30.950,1.150600,-5.230,137.840000,-5.088,"_","_","_",76.899
"26 AGO2015",0.043,0.501,1.068,2.092,15.847,"_",3.103,-0.341,1.381,1.209,1.420,0.705,133.880,"_",1.187,1.819,1.698,-2.905,-2.870,30.533,"_","_","_",9.935,"_",-30.663,0.772,1.957,12.949,-7.383,-8.627,-0.813,5.307,10007.400,31.080,1.140200,-6.087,136.460000,-6.039,"_","_","_",76.835
"27 AGO2015",0.040,0.454,1.043,2.061,15.638,1.946,3.105,-0.147,1.334,1.248,1.446,0.729,134.430,"_",1.190,1.866,1.709,0.015,0.104,31.491,"_","_","_",12.875,"_",-25.971,4.270,5.202,16.775,-8.938,-6.555,1.619,6.439,10308.700,28.840,1.128400,-7.059,135.620000,-6.617,"_","_","_",76.711
"28 AGO2015",0.045,0.441,0.969,1.903,15.596,1.963,3.115,-0.522,1.348,1.230,1.460,0.715,134.610,"_",1.185,1.879,1.857,0.584,0.714,31.543,"_","_","_",12.742,"_",-24.154,4.455,5.028,15.684,-5.697,-6.621,1.948,9.659,10333.400,27.420,1.126800,-7.191,136.160000,-6.245,"_","_","_",76.718
"31 AGO2015",0.041,0.421,0.980,1.646,15.646,2.569,"_",-0.675,1.332,"_",1.439,0.737,134.150,"_",1.189,1.889,2.114,-0.289,-0.199,31.514,"_","_","_",12.739,"_",-25.989,3.916,4.629,15.411,"_",-7.266,0.854,8.250,10248.600,29.670,1.121500,-7.627,136.070000,-6.307,"_","_","_",76.635
"01 SEP2015",0.050,0.419,1.039,2.079,15.489,2.626,3.148,-0.647,1.310,1.153,1.391,0.786,133.680,"_",1.180,1.901,1.711,-2.879,-2.789,32.059,"_","_","_",10.300,"_",-27.514,1.344,2.142,12.831,-4.845,-9.901,-2.110,4.097,9968.200,31.590,1.123600,-7.454,134.870000,-7.134,"_","_","_",76.678
"02 SEP2015",0.045,0.457,1.109,2.088,15.462,2.766,3.204,-0.573,1.363,1.132,1.389,0.778,133.700,"_",1.185,1.873,1.752,-3.394,-3.319,31.947,"_","_","_",10.307,"_",-28.303,1.666,2.473,13.676,-7.730,-8.257,0.294,3.694,9956.800,30.280,1.125500,-7.298,135.210000,-6.899,"_","_","_",76.749
"03 SEP2015",0.031,0.451,1.054,2.121,15.460,2.652,3.258,-0.933,1.365,1.157,1.414,0.780,134.290,1.085,1.199,1.859,1.719,-2.397,-2.307,32.068,"_","_","_",11.752,"_",-25.754,3.930,5.224,16.650,-7.353,-8.126,-0.054,4.192,10040.500,27.170,1.122900,-7.512,134.980000,-7.058,"_","_","_",76.690
"04 SEP2015",0.026,0.404,0.982,2.039,15.436,2.579,3.156,-0.917,1.392,1.171,1.456,0.691,134.720,"_",1.204,1.846,1.721,-4.533,-4.453,32.218,"_","_","_",9.607,"_",-27.669,1.075,2.371,12.943,-5.665,-9.654,-1.101,1.956,9839.100,31.550,1.113800,-8.261,132.820000,-8.545,"_","_","_",76.531
"07 SEP2015",0.029,0.373,1.030,2.081,15.143,"_",3.197,-1.031,1.454,1.158,"_",0.674,134.320,"_",1.191,1.887,1.729,-4.648,-4.612,32.168,"_","_","_",9.699,"_",-28.486,1.638,3.091,13.730,-7.968,"_","_",2.348,9810.200,32.370,1.114600,-8.195,133.090000,-8.359,"_","_","_",76.545
"08 SEP2015","_",0.365,0.966,2.097,15.026,2.641,3.252,-0.999,1.418,1.167,1.500,0.673,134.720,"_","_",1.885,1.693,-4.050,-4.021,32.147,"_","_","_",10.374,"_",-27.240,2.778,4.750,15.408,-7.486,-7.464,1.602,-0.136,9864.700,29.510,1.116200,-8.064,133.820000,-7.857,"_","_","_",76.511
"09 SEP2015","_",0.347,0.959,2.057,14.485,2.596,3.184,-0.780,1.364,1.163,1.538,0.698,134.720,"_","_",1.893,1.693,-2.410,-2.351,32.245,"_","_","_",11.521,"_",-26.571,3.927,5.074,16.382,-6.396,-8.806,0.432,7.563,10034.500,28.050,1.113900,-8.253,134.650000,-7.285,"_","_","_",76.514
"10 SEP2015","_",0.357,0.921,2.050,14.486,"_",3.402,-0.841,1.382,1.175,1.531,0.690,134.720,"_","_",1.893,1.720,-4.183,-4.091,32.483,"_","_","_",10.584,"_",-29.371,2.374,4.129,15.198,-5.134,-8.375,1.271,4.864,9860.100,32.410,1.118500,-7.874,135.380000,-6.782,"_","_","_",76.582
"11 SEP2015","_",0.361,1.003,2.088,14.474,2.660,"_",-0.891,1.431,1.190,1.532,0.668,135.410,1.090,"_",1.909,1.702,-5.382,-5.269,32.576,"_","_","_",9.495,"_",-30.314,1.319,3.243,14.468,-6.248,-7.799,1.822,4.661,9749.800,31.170,1.126800,-7.191,136.020000,-6.342,"_","_","_",76.715
"14 SEP2015","_",0.392,1.054,2.104,14.471,2.648,3.246,-0.561,1.446,1.195,1.536,0.651,135.140,"_","_",1.898,1.696,-5.845,-5.672,32.535,"_","_","_",8.313,"_",-30.366,0.928,3.327,13.370,-6.828,-8.147,1.472,2.951,9726.700,34.990,1.130500,-6.886,136.040000,-6.328,"_","_","_",76.754
"15 SEP2015",0.058,0.386,1.013,2.067,14.476,2.617,3.226,-1.256,1.400,1.201,1.516,0.670,134.730,"_",1.162,1.894,1.703,-5.028,-4.835,32.573,"_","_","_",9.020,"_",-29.423,1.944,3.902,15.210,-7.333,-6.863,2.628,3.299,9797.300,33.130,1.132000,-6.762,135.440000,-6.741,"_","_","_",76.759
"16 SEP2015",0.058,0.398,0.996,2.070,14.129,2.607,"_",-1.028,1.340,1.202,1.518,0.771,134.670,"_",1.162,1.902,1.750,-3.214,-2.945,31.519,"_","_","_",10.281,"_",-28.091,3.349,4.300,16.028,-6.526,-6.077,3.234,4.131,9978.500,37.430,1.122800,-7.520,135.450000,-6.734,"_","_","_",76.605
"17 SEP2015",0.061,0.422,1.034,2.117,14.153,2.650,"_",-0.925,1.342,1.201,1.520,0.776,134.910,"_",1.159,1.878,1.703,-2.056,-1.682,31.707,"_","_","_",10.544,"_",-28.337,3.476,4.324,16.240,-5.131,-6.443,3.334,5.624,10108.400,47.130,1.131200,-6.828,136.760000,-5.832,"_","_","_",76.715
"18 SEP2015",0.055,0.395,0.950,2.003,14.478,"_","_",-0.887,1.276,1.192,1.500,0.671,136.580,"_",1.165,1.885,1.657,-4.518,-4.205,32.218,"_","_","_",9.839,"_",-29.080,0.345,1.128,13.165,-5.774,-8.071,1.925,3.550,9845.500,43.660,1.141900,-5.947,136.310000,-6.142,"_","_","_",76.771
"21 SEP2015",0.050,0.426,1.509,1.954,14.571,2.466,"_",-0.513,1.279,1.200,1.506,0.678,136.400,"_",1.170,1.864,1.696,-4.454,-4.112,32.227,"_","_","_",9.530,"_",-29.309,1.217,1.458,14.430,-7.036,-7.366,1.962,"_",9858.700,23.210,1.125000,-7.339,135.500000,-6.700,"_","_","_",76.588
"22 SEP2015",0.053,0.403,1.002,1.976,14.549,2.550,"_",-0.040,1.350,1.233,1.558,0.629,136.710,"_",1.167,1.897,1.714,-7.365,-7.095,32.942,"_","_","_",6.779,"_",-32.794,-2.237,-2.395,10.624,-6.966,-8.375,0.436,"_",9529.800,26.150,1.115500,-8.121,133.750000,-7.905,"_","_","_",76.460
"23 SEP2015",0.051,0.395,1.023,2.018,13.587,2.514,3.112,-0.460,1.374,1.204,1.552,0.606,136.620,"_",1.169,1.895,1.652,-8.127,-7.830,31.150,"_","_","_",6.282,"_",-32.926,-2.112,-1.968,10.819,-9.599,-8.658,0.352,"_",9468.400,27.620,1.115000,-8.162,134.030000,-7.712,"_","_","_",76.552
"24 SEP2015",0.049,0.667,0.962,1.923,13.588,2.559,3.138,0.061,1.387,1.187,1.545,0.586,136.830,"_",1.161,1.623,1.737,-9.891,-9.612,31.405,"_","_","_",4.563,"_",-36.229,-4.039,-3.854,8.257,-8.130,-9.099,-0.033,0.694,9265.600,29.950,1.124100,-7.413,134.480000,-7.402,"_","_","_",76.755
"25 SEP2015",0.053,0.442,0.983,2.012,13.652,2.566,3.141,0.009,1.366,1.190,1.528,0.658,136.140,"_",1.157,1.868,1.698,-7.671,-7.393,31.848,"_","_","_",6.873,"_",-33.583,-1.057,-1.193,12.240,-9.208,-8.463,-1.046,2.463,9510.600,28.460,1.115100,-8.154,134.920000,-7.099,"_","_","_",76.651
"28 SEP2015",0.046,0.386,0.924,1.957,13.784,2.519,3.077,0.056,1.334,1.186,1.529,0.607,136.700,"_",1.164,1.884,1.683,-8.900,-8.612,31.948,"_","_","_",5.956,"_",-36.251,-3.400,-3.284,9.192,-6.961,-10.218,-4.056,1.114,9389.700,30.130,1.117000,-7.998,134.130000,-7.643,"_","_","_",76.667
"29 SEP2015",0.043,"_",0.905,1.903,13.675,"_",3.059,-0.045,1.301,1.190,1.515,0.605,137.500,"_",1.167,"_",1.697,-8.890,-8.615,31.938,"_","_","_",5.573,"_",-36.617,-3.705,-3.622,9.020,-9.248,-9.953,-4.618,-2.979,9397.800,30.820,1.120400,-7.718,134.380000,-7.471,"_","_","_",76.730
"30 SEP2015","_",0.379,0.895,1.873,13.090,2.010,3.001,0.284,1.294,1.199,1.502,0.607,137.580,"_","_",1.881,1.717,-7.326,-7.000,31.894,"_","_","_",7.784,"_",-34.377,-1.454,-1.480,12.008,-10.004,-8.631,-2.447,-0.359,9540.300,28.990,1.120300,-7.726,134.690000,-7.257,"_","_","_",76.727
"01 OCT2015",0.033,0.364,0.873,1.853,12.963,"_",2.962,-0.055,1.281,1.211,1.487,0.567,138.140,"_",1.177,1.876,1.697,-7.338,-6.928,31.621,"_","_","_",7.561,"_",-34.171,-2.459,-3.022,11.208,-7.683,-8.703,-2.301,1.557,9548.400,28.370,1.115300,-8.138,133.560000,-8.036,"_","_","_",76.626
"02 OCT2015",0.021,0.315,0.819,1.800,12.993,"_",2.931,0.521,1.309,1.230,1.497,0.564,138.810,"_",1.189,1.915,1.770,-6.983,-6.575,31.562,"_","_","_",8.730,"_",-33.977,-1.851,-2.575,12.536,-7.518,-7.578,-0.597,1.572,9582.000,29.710,1.116000,-8.080,134.240000,-7.567,"_","_","_",76.635
"05 OCT2015",0.018,0.290,0.792,1.767,13.019,2.311,2.910,1.233,1.236,1.237,1.476,0.545,138.720,"_",1.182,1.890,1.713,-3.522,-2.998,32.272,"_","_","_",11.976,"_",-30.263,1.397,0.094,15.612,-6.642,-5.872,0.955,3.179,9940.300,27.520,1.123600,-7.454,135.070000,-6.996,"_","_","_",76.748
"06 OCT2015","_",0.318,0.842,1.809,13.043,2.385,2.985,0.243,1.264,1.226,1.467,0.589,138.200,1.040,"_",1.882,1.741,-2.265,-1.714,31.530,"_","_","_",13.030,"_",-28.217,2.341,0.992,16.677,-4.069,-5.795,0.260,4.214,10113.500,26.740,1.122400,-7.553,135.070000,-6.996,"_","_","_",76.728
"07 OCT2015",0.021,0.293,0.765,1.811,13.054,2.387,"_",1.161,1.230,1.242,1.472,0.605,138.030,"_",1.179,1.897,1.729,-1.489,-1.065,31.269,"_","_","_",13.714,"_",-26.897,2.542,1.681,15.755,-3.654,-5.110,1.163,4.998,10148.800,25.100,1.126600,-7.207,135.300000,-6.837,"_","_","_",76.693
"08 OCT2015","_",0.304,0.818,1.833,13.055,2.359,2.953,0.935,1.247,1.238,1.496,0.559,138.200,0.700,"_",1.886,1.667,-1.389,-0.956,31.256,"_","_","_",14.560,"_",-26.651,2.496,1.912,16.541,-3.499,-4.333,1.578,3.956,10179.900,25.080,1.125400,-7.306,134.920000,-7.099,"_","_","_",76.692
"09 OCT2015","_",0.312,0.817,1.795,12.975,2.344,2.930,1.069,1.227,1.240,1.491,0.610,138.200,1.080,"_",1.878,1.725,-0.124,0.293,31.378,"_","_","_",14.507,"_",-24.994,3.302,2.968,17.073,-2.283,-4.144,1.994,5.661,10307.900,23.290,1.136200,-6.416,136.650000,-5.908,"_","_","_",76.834
"12 OCT2015",0.029,0.297,"_",1.784,13.055,2.496,3.438,1.130,1.229,1.254,"_",0.594,138.690,"_",1.171,1.893,1.736,-0.763,-0.322,31.120,"_","_","_",13.212,"_",-25.440,3.207,3.205,16.197,-2.968,-3.878,2.166,5.661,10251.500,25.520,1.137300,-6.326,136.610000,-5.935,"_","_","_",76.836
"13 OCT2015",0.018,0.321,0.825,1.770,12.946,2.315,2.892,1.182,1.225,1.241,1.492,0.573,138.610,"_",1.182,1.869,1.720,-2.119,-1.597,31.234,"_","_","_",11.713,"_",-27.971,2.379,2.318,15.972,-2.968,-4.159,1.279,4.492,10100.300,26.960,1.137400,-6.317,136.160000,-6.245,"_","_","_",76.914
"14 OCT2015",0.016,0.296,0.736,1.759,12.945,2.327,"_",1.294,1.233,1.241,1.484,0.565,138.870,"_",1.184,1.894,1.721,-2.965,-2.353,31.191,"_","_","_",11.237,"_",-29.720,1.435,1.125,14.866,-3.409,-5.040,0.988,2.523,10058.500,29.210,1.141000,-6.021,136.480000,-6.025,"_","_","_",76.881
"15 OCT2015",0.011,0.289,0.781,1.788,12.811,2.321,2.899,1.448,1.249,1.234,1.470,0.554,138.820,"_",1.189,1.891,1.692,-2.351,-1.730,31.222,"_","_","_",11.620,"_",-29.777,2.936,2.644,16.862,-4.515,-3.823,2.830,3.703,10108.000,27.400,1.143900,-5.782,135.230000,-6.886,"_","_","_",76.842
"16 OCT2015",0.006,0.306,"_",1.755,12.822,2.344,"_",1.475,1.238,1.248,1.484,0.541,139.210,"_",1.194,1.864,1.715,-1.078,-0.467,31.412,"_","_","_",11.849,"_",-29.789,3.766,3.048,17.493,-3.464,-3.406,3.181,4.819,10208.600,19.160,1.136000,-6.433,135.250000,-6.872,"_","_","_",76.744
"19 OCT2015",0.010,0.276,0.757,1.773,12.796,2.298,2.867,1.407,1.210,1.269,1.486,0.567,139.120,"_",1.180,1.894,1.687,-1.253,-0.702,31.409,"_","_","_",13.186,"_",-29.897,3.992,3.659,17.924,-2.864,-3.325,3.577,3.899,10150.200,21.770,1.133300,-6.655,135.290000,-6.844,"_","_","_",76.694
"20 OCT2015",0.008,0.261,0.747,1.767,12.845,2.325,2.873,1.579,1.188,1.245,1.449,0.611,138.740,"_",1.182,1.909,1.693,-2.258,-1.740,31.389,"_","_","_",13.019,"_",-30.171,3.473,3.489,17.137,-3.256,-3.400,3.060,4.334,10072.200,21.440,1.137300,-6.326,136.160000,-6.245,"_","_","_",76.787
"21 OCT2015","_",0.320,0.812,1.737,12.878,2.308,2.850,1.538,1.172,1.243,1.470,0.599,139.390,"_","_",1.860,1.723,-1.700,-1.187,31.280,"_","_","_",14.037,"_",-31.429,3.998,4.411,16.625,-3.365,-3.672,2.197,6.324,10122.900,21.250,1.135400,-6.482,136.300000,-6.149,"_","_","_",76.784
"22 OCT2015",-0.020,0.230,0.760,1.719,13.224,2.265,2.731,1.650,1.181,1.254,1.467,0.581,140.700,"_",1.220,1.950,1.741,0.340,0.836,31.612,"_","_","_",14.921,"_",-29.371,6.569,7.000,18.961,-3.315,-1.873,3.885,5.645,10325.800,20.220,1.131300,-6.820,135.490000,-6.707,"_","_","_",76.709
"23 OCT2015",-0.050,0.112,0.635,1.550,13.204,2.131,2.737,1.636,1.128,1.338,1.563,0.523,140.730,"_",1.240,1.958,1.780,1.448,1.914,31.731,"_","_","_",16.615,"_",-27.714,8.879,10.086,19.592,-2.891,-0.990,6.246,7.877,10414.800,20.640,1.108400,-8.706,133.800000,-7.870,"_","_","_",76.359
"26 OCT2015","_",0.176,0.608,1.602,13.170,2.152,2.749,1.908,1.137,1.357,1.579,0.493,140.750,"_","_",1.904,1.738,1.362,1.934,31.655,"_","_","_",15.714,"_",-28.949,8.523,10.155,19.028,-1.858,-1.122,6.306,8.575,10436.400,21.350,1.101100,-9.307,133.260000,-8.242,"_","_","_",76.285
"27 OCT2015",-0.051,0.186,0.625,1.578,13.125,2.131,"_",3.172,1.136,1.340,1.585,0.461,141.280,"_",1.231,1.874,1.702,-0.082,0.417,31.831,"_","_","_",14.506,"_",-30.463,7.455,9.042,17.662,-2.270,-1.356,6.210,7.600,10293.300,22.010,1.106100,-8.895,133.060000,-8.380,"_","_","_",76.370
"28 OCT2015",-0.056,0.176,0.612,1.551,13.123,2.105,2.658,2.985,1.137,1.361,1.619,0.431,141.440,"_",1.226,1.864,1.709,0.899,1.385,31.868,"_","_","_",15.457,"_",-29.617,8.729,10.468,19.326,-3.058,-0.244,7.594,8.322,10382.100,21.860,1.108500,-8.698,133.380000,-8.159,"_","_","_",76.432
"29 OCT2015",-0.036,0.321,0.609,1.582,8.919,2.110,2.698,2.660,1.109,1.403,1.648,0.471,140.630,0.780,1.206,1.729,1.708,0.571,1.145,31.791,"_","_","_",15.107,"_",-29.903,8.485,10.150,18.045,-1.954,-0.377,7.141,8.509,10321.700,21.400,1.093000,-9.974,132.300000,-8.903,"_","_","_",76.203
"30 OCT2015","_",0.254,0.638,1.637,8.424,2.150,2.730,3.294,1.164,1.410,1.648,0.533,140.430,1.030,"_",1.826,1.733,0.139,0.790,31.642,"_","_","_",14.213,"_",-29.971,8.638,10.653,18.044,-2.593,-0.895,6.708,9.354,10285.200,21.240,1.101700,-9.258,132.880000,-8.504,"_","_","_",76.307
"02 NOV2015",-0.028,0.233,0.715,1.740,8.558,2.248,2.838,3.049,1.160,1.383,1.619,0.571,139.640,"_",1.198,1.857,1.690,0.745,1.349,31.686,"_","_","_",15.428,"_",-29.314,9.155,11.678,18.254,-3.122,0.032,8.258,7.063,10378.300,21.330,1.103200,-9.134,133.020000,-8.407,"_","_","_",76.257
"03 NOV2015","_",0.322,0.686,1.716,8.534,2.245,2.845,2.958,1.156,1.388,1.634,0.565,139.720,"_","_",1.768,1.714,1.191,1.807,31.687,"_","_","_",15.415,"_",-26.897,9.415,11.683,18.133,-3.111,0.533,8.637,"_",10415.400,20.970,1.097600,-9.596,132.650000,-8.662,"_","_","_",76.206
"04 NOV2015","_",0.256,0.655,1.700,8.546,2.243,2.835,2.000,1.144,1.426,1.651,0.578,139.480,"_","_",1.814,1.690,1.397,1.887,31.530,"_","_","_",14.959,"_",-26.337,9.304,10.603,17.361,-2.779,0.250,8.582,8.459,10421.800,21.200,1.093500,-9.933,132.450000,-8.800,"_","_","_",76.117
