"","SI_1_2.1","SI_1_2.2","SI_1_2.3","SI_1_2.4","SI_1_2.5","SI_1_2.6","SI_1_2.7","SI_1_2.8","SI_1_2.9","SI_1_2.10","SI_1_2.11","SI_1_2.12","SI_1_2.13","SI_1_2.14","SI_1_2.15","SI_1_2.16","SI_1_2.17","SI_1_2.18","SI_1_2.19","SI_1_2.20","SI_1_2.21","SI_1_2.22","SI_1_2.23","SI_1_2.24","SI_1_2.25","SI_1_2.26","SI_1_2.27","SI_1_2.28","SI_1_2.29","SI_1_2.30","SI_1_2.31","SI_1_2.32","SI_1_2.33","SI_1_2.34","SI_1_2.35","SI_1_2.36","SI_1_2.37","SI_1_2.38","SI_1_2.39","SI_1_2.40","SI_1_2.41","SI_1_2.42","SI_1_2.43"
"09 FEB2000","_",4.924,5.341,5.714,24.832,5.865,6.007,-0.117,0.219,0.232,1.213,5.495,86.940,0.198,"_",0.256,0.426,5.497,2.561,23.574,11.512,-3.764,-4.530,-0.992,"_",-3.548,5.859,9.643,6.799,-8.871,-6.941,7.223,5.669,11981.500,25.890,0.993400,-1.115,108.160000,5.286,0.450,12.775,12.175,74.193
"10 FEB2000","_",4.963,5.365,5.764,24.783,5.879,6.063,-0.541,0.220,0.203,1.120,5.543,86.420,"_","_","_","_",6.010,3.257,23.479,11.426,-5.291,-1.555,-1.321,"_",-1.136,5.503,10.795,8.441,-9.385,-7.424,10.231,4.097,12057.000,26.760,0.986800,-1.772,107.110000,4.264,"_",12.560,12.010,74.058
"11 FEB2000","_",4.992,5.408,5.822,24.730,5.979,6.135,-0.505,0.217,0.153,1.147,5.606,86.500,0.234,"_",0.248,0.448,9.265,6.796,24.607,14.127,-4.516,4.231,-1.305,"_",0.653,5.938,9.391,11.009,-10.633,-9.323,8.015,"_",12439.000,28.360,0.980100,-2.439,107.420000,4.565,0.400,11.600,11.600,74.019
"14 FEB2000","_",5.008,5.393,5.813,7.951,5.958,6.117,-0.437,0.210,0.136,1.132,5.603,86.880,0.240,"_",0.212,0.437,9.430,7.020,24.466,12.392,1.753,1.646,-3.186,"_",-3.132,5.334,9.868,12.979,-12.433,-8.500,8.582,3.286,12431.500,33.090,0.986700,-1.782,106.850000,4.011,0.200,12.000,11.820,74.143
"15 FEB2000",3.860,4.965,5.364,5.786,7.955,5.933,6.081,-0.649,0.210,0.124,1.101,5.576,86.720,0.232,0.350,0.245,0.424,7.194,4.499,25.256,9.503,1.094,-1.236,-2.366,"_",-4.031,2.832,6.295,8.162,-13.347,-6.776,8.637,2.289,12169.000,33.000,0.977800,-2.668,106.460000,3.631,0.250,11.900,11.820,74.018
"16 FEB2000",3.939,4.974,5.396,5.820,7.962,5.975,6.112,-0.821,0.206,0.157,1.072,5.614,86.470,0.205,0.271,0.266,0.430,7.814,5.100,25.263,9.048,3.093,-0.580,-1.795,"_",-2.545,3.247,7.648,9.895,-11.295,-8.139,8.806,3.511,12243.500,33.010,0.980400,-2.409,106.970000,4.127,0.250,12.000,11.800,74.022
"17 FEB2000",3.942,4.950,5.361,5.785,7.963,5.937,6.097,-0.698,0.220,0.167,1.076,5.565,86.450,0.220,0.278,0.250,0.415,8.609,5.887,25.278,8.874,3.282,1.667,-0.874,"_",-1.400,4.282,8.945,10.774,-10.402,-8.546,11.786,4.526,12354.500,32.850,0.991900,-1.264,109.300000,6.395,0.250,11.920,12.000,74.220
"18 FEB2000",4.060,4.991,5.397,5.801,7.874,5.927,6.049,-0.600,0.225,0.115,1.083,5.576,86.650,0.290,0.230,0.269,0.399,8.999,6.242,25.279,9.391,2.242,3.090,0.672,"_",0.199,3.571,8.848,10.153,-11.042,-11.112,8.415,4.514,12418.300,"_",0.985700,-1.881,109.270000,6.366,0.350,11.660,11.760,74.147
"21 FEB2000",4.059,4.977,5.363,5.733,7.919,5.863,6.010,-0.728,0.200,0.086,1.064,5.533,87.150,"_",0.271,0.263,0.427,8.219,5.316,25.302,8.130,2.845,1.582,0.767,"_",-0.492,2.628,9.088,8.427,-12.245,"_","_",3.219,12275.500,30.400,0.985700,-1.881,109.730000,6.814,0.300,11.500,11.550,74.191
"22 FEB2000",4.070,4.920,5.288,5.679,8.058,5.816,5.987,-0.526,0.205,0.098,1.078,5.475,87.910,0.250,0.260,0.270,0.421,6.917,3.741,25.618,7.372,1.706,-0.517,2.760,"_",-1.438,2.438,9.339,8.734,-13.210,-10.370,7.687,2.410,12050.500,31.290,1.002200,-0.239,111.110000,8.157,0.300,12.250,11.850,74.445
"23 FEB2000","_",4.903,5.247,5.663,8.081,5.807,5.968,-0.519,0.208,0.090,1.045,5.454,87.650,0.240,"_",0.267,0.417,9.009,5.763,25.801,9.298,4.185,1.106,4.069,"_",-0.814,3.702,10.647,11.933,-11.343,-11.058,11.821,3.091,12322.500,30.150,1.006800,0.219,111.880000,8.907,"_",11.600,11.500,74.547
"24 FEB2000",4.045,4.877,5.245,5.662,8.128,5.823,5.981,-0.376,0.201,0.047,1.034,5.461,87.990,0.241,0.275,0.273,0.438,9.274,6.107,25.779,10.182,3.615,1.641,4.889,"_",-1.684,4.342,9.807,11.772,-12.171,-12.216,13.475,3.365,12372.500,29.710,0.989800,-1.473,109.550000,6.639,0.150,11.950,11.650,74.264
"25 FEB2000",4.000,4.826,5.179,5.633,7.908,5.802,5.978,-0.043,0.189,-0.011,1.038,5.444,87.610,0.220,0.260,0.274,0.437,12.120,9.015,26.462,13.456,4.166,5.702,6.876,"_",-2.016,6.207,11.218,15.350,-10.565,-14.221,12.808,4.666,12665.500,27.930,0.981300,-2.319,108.790000,5.899,"_",12.625,12.100,74.123
"28 FEB2000",3.970,4.903,5.260,5.702,7.749,5.865,6.022,0.040,0.227,-0.082,0.968,5.474,87.340,0.219,0.310,0.247,0.428,10.370,7.092,26.261,11.994,2.549,3.582,7.668,"_",-1.779,4.524,9.040,13.910,-11.985,-12.686,12.497,4.150,12512.500,28.960,0.963900,-4.051,105.220000,2.424,"_",15.550,13.350,73.760
"29 FEB2000",3.970,4.890,5.275,5.710,7.687,5.867,6.044,0.123,0.203,-0.052,1.023,5.507,87.200,0.178,0.310,0.270,0.420,11.420,8.112,26.321,13.982,2.167,4.593,8.589,"_",-1.722,5.672,9.865,15.326,-10.066,-11.906,15.417,5.414,12564.000,28.490,0.971400,-3.305,106.810000,3.972,0.750,15.700,13.750,73.945
"01 MAR2000",4.018,4.903,5.284,5.701,7.599,5.858,6.027,0.249,0.209,0.039,1.005,5.492,87.350,"_","_","_","_",11.196,7.708,26.316,14.602,2.491,3.019,10.661,"_",-1.741,6.742,11.063,15.752,-8.157,-11.822,17.565,6.060,12596.000,28.010,0.966700,-3.773,104.650000,1.869,0.700,14.900,12.900,73.831
"02 MAR2000",3.991,4.943,5.298,5.730,7.621,5.871,6.054,-0.039,0.225,0.039,1.001,5.505,87.080,0.170,0.319,0.257,0.420,12.609,9.176,26.441,18.503,2.957,2.433,10.873,"_",-7.901,10.234,14.194,17.848,-7.187,-11.587,16.838,5.972,12693.500,27.560,0.972500,-3.195,104.380000,1.606,0.600,14.950,12.900,73.891
"03 MAR2000",3.988,4.937,5.305,5.700,7.766,5.864,6.014,-0.085,0.196,0.014,1.006,5.504,87.630,0.184,0.322,0.253,0.440,12.982,9.480,26.348,20.839,2.521,1.183,11.353,"_",-5.299,11.128,14.399,17.278,-6.388,-9.828,20.777,5.245,12750.500,26.210,0.965900,-3.852,104.170000,1.402,0.700,14.700,13.100,73.812
"06 MAR2000",3.980,4.932,5.299,5.668,7.767,5.815,5.994,0.140,0.214,-0.064,1.070,5.454,87.610,0.170,0.340,0.248,0.412,13.647,10.097,26.319,22.156,2.348,1.799,12.867,"_",-6.927,11.418,14.625,18.846,-5.229,-11.539,20.533,4.553,12803.500,27.460,0.964000,-4.041,103.470000,0.720,0.750,15.100,13.225,73.764
"07 MAR2000","_",4.923,5.257,5.631,7.597,5.800,5.978,-0.134,0.200,-0.089,1.101,5.431,87.790,0.173,"_",0.247,0.419,12.489,8.812,26.398,18.679,2.248,2.207,13.002,"_",-7.021,10.641,15.907,15.961,-6.691,-14.796,19.132,5.334,12678.000,28.900,0.959300,-4.509,103.000000,0.263,0.650,15.200,13.350,73.696
"08 MAR2000",3.980,4.911,5.247,5.655,7.602,5.817,6.001,0.016,0.188,-0.052,1.034,5.468,87.650,0.170,0.380,0.289,0.455,12.499,8.821,26.314,17.104,3.073,3.300,13.169,"_",-7.579,9.380,14.786,15.524,-7.489,-14.270,20.346,4.397,12670.500,30.210,0.954300,-5.007,102.240000,-0.477,0.550,15.100,13.200,73.566
"09 MAR2000",4.000,4.893,5.190,5.601,7.838,5.764,5.967,0.269,0.215,-0.063,1.067,5.386,88.490,0.190,0.400,0.257,0.419,11.717,7.918,26.421,16.399,2.950,1.792,13.194,"_",-7.456,9.143,14.242,16.897,-5.744,-12.928,24.022,3.845,12579.000,31.410,0.961600,-4.280,102.440000,-0.282,0.450,14.600,12.950,73.683
"10 MAR2000",4.110,4.896,5.190,5.567,7.827,5.735,5.934,0.259,0.212,-0.065,1.107,5.355,88.260,0.260,0.280,0.254,0.423,11.264,7.493,26.282,15.498,2.579,1.867,12.963,"_",-7.012,10.447,14.628,17.390,-5.216,-13.641,24.066,4.310,12528.000,33.210,0.961300,-4.310,102.270000,-0.448,0.350,13.900,12.600,73.683
"13 MAR2000",4.160,4.865,5.166,5.539,7.334,5.708,5.909,0.217,0.209,-0.007,1.100,5.331,88.640,0.281,0.270,0.275,0.421,10.017,6.170,26.365,15.528,1.420,-0.779,12.749,"_",-6.198,7.135,10.573,14.798,-6.685,-13.482,20.591,1.350,12299.500,37.060,0.971600,-3.285,102.230000,-0.487,0.300,14.250,12.800,73.827
"14 MAR2000","_",4.888,5.182,5.553,7.376,5.737,5.914,0.520,0.176,0.017,1.134,5.376,88.110,0.211,"_",0.282,0.437,11.679,7.855,26.590,17.703,2.654,0.536,13.467,"_",-10.948,7.215,9.944,14.596,-6.394,-14.663,15.662,1.096,12588.000,37.190,0.962000,-4.240,100.930000,-1.752,0.250,13.980,12.700,73.680
"15 MAR2000",4.148,4.900,5.180,5.550,7.364,5.705,5.908,0.649,0.205,0.029,1.068,5.345,88.340,"_",0.292,0.270,0.430,9.425,5.481,27.079,14.403,2.055,-1.823,13.153,"_",-11.081,3.643,6.558,11.114,-6.972,-11.879,12.614,0.762,12330.500,37.130,0.964700,-3.972,101.740000,-0.964,0.300,13.850,12.700,73.755
