"","SI_2_2.1","SI_2_2.2","SI_2_2.3","SI_2_2.4","SI_2_2.5","SI_2_2.6","SI_2_2.7","SI_2_2.8","SI_2_2.9","SI_2_2.10","SI_2_2.11","SI_2_2.12","SI_2_2.13"
"NÚMERO SECUENCIAL",905832,905833,905834,905835,905836,905837,3775808,905838,905839,905840,905841,905842,905843
"DESCRIPCIÓN DE LA SERIE","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. VARIACIÓN DEL TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MARGINAL","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MEDIO","INTERVENCIÓN BCE. TIPO FACILIDAD DE CRÉDITO","INTERVENCIÓN BCE. TIPO FACILIDAD DE DEPÓSITO","ECONOMIA MUNDIAL. TIPO DE INTERÉS DÍA A DÍA. MERCADOS UEM. INTERBANCARIO. ESTER. BCE. ","MERCADOS MONETARIOS. TIPO EONIA","MERCADOS MONETARIOS. EURIBOR 1 MES","MERCADOS MONETARIOS. EURIBOR 3 MESES","MERCADOS MONETARIOS. EURIBOR 6 MESES","MERCADOS MONETARIOS. EURIBOR 12 MESES","FUTUROS EURIBOR 3 MESES. PRIMER VENCIMIENTO"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Céntimos de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"11 AGO2011","_","_","_","_",2.250,0.750,"_",0.903,1.367,1.535,1.726,2.063,98.630
"12 AGO2011","_","_","_","_",2.250,0.750,"_",0.880,1.362,1.535,1.730,2.067,98.570
"15 AGO2011","_","_","_","_",2.250,0.750,"_",0.874,1.362,1.538,1.740,2.078,98.520
"16 AGO2011",1.500,0.000,1.500,1.500,2.250,0.750,"_",0.885,1.357,1.536,1.741,2.080,98.525
"17 AGO2011","_","_","_","_",2.250,0.750,"_",0.876,1.352,1.535,1.740,2.078,98.550
"18 AGO2011","_","_","_","_",2.250,0.750,"_",0.883,1.348,1.535,1.737,2.073,98.580
"19 AGO2011","_","_","_","_",2.250,0.750,"_",0.890,1.344,1.533,1.730,2.066,98.570
"22 AGO2011","_","_","_","_",2.250,0.750,"_",0.908,1.345,1.534,1.734,2.070,98.535
"23 AGO2011",1.500,0.000,1.500,1.500,2.250,0.750,"_",0.900,1.347,1.536,1.739,2.075,98.495
"24 AGO2011","_","_","_","_",2.250,0.750,"_",0.896,1.349,1.539,1.743,2.079,98.490
"25 AGO2011","_","_","_","_",2.250,0.750,"_",0.890,1.349,1.539,1.745,2.085,98.505
"26 AGO2011","_","_","_","_",2.250,0.750,"_",0.874,1.349,1.540,1.744,2.083,98.500
"29 AGO2011","_","_","_","_",2.250,0.750,"_",0.869,1.348,1.540,1.745,2.084,98.470
"30 AGO2011",1.500,0.000,1.500,1.500,2.250,0.750,"_",0.865,1.350,1.540,1.747,2.085,98.475
"31 AGO2011","_","_","_","_",2.250,0.750,"_",0.955,1.351,1.542,1.749,2.089,98.475
"01 SEP2011","_","_","_","_",2.250,0.750,"_",0.884,1.351,1.543,1.748,2.089,98.485
"02 SEP2011","_","_","_","_",2.250,0.750,"_",0.868,1.350,1.541,1.744,2.083,98.510
"05 SEP2011","_","_","_","_",2.250,0.750,"_",0.873,1.346,1.537,1.734,2.071,98.555
"06 SEP2011",1.500,0.000,1.500,1.500,2.250,0.750,"_",0.871,1.343,1.534,1.732,2.066,98.545
"07 SEP2011","_","_","_","_",2.250,0.750,"_",0.870,1.341,1.532,1.731,2.067,98.530
"08 SEP2011","_","_","_","_",2.250,0.750,"_",0.863,1.341,1.532,1.732,2.067,98.503
"09 SEP2011","_","_","_","_",2.250,0.750,"_",0.850,1.342,1.530,1.728,2.059,98.508
"12 SEP2011","_","_","_","_",2.250,0.750,"_",0.857,1.340,1.527,1.723,2.051,98.518
"13 SEP2011",1.500,0.000,1.500,1.500,2.250,0.750,"_",1.214,1.340,1.528,1.724,2.052,98.490
"14 SEP2011","_","_","_","_",2.250,0.750,"_",0.930,1.342,1.529,1.729,2.058,98.480
"15 SEP2011","_","_","_","_",2.250,0.750,"_",0.952,1.340,1.531,1.734,2.066,98.465
"16 SEP2011","_","_","_","_",2.250,0.750,"_",1.112,1.346,1.535,1.736,2.068,98.465
"19 SEP2011","_","_","_","_",2.250,0.750,"_",1.041,1.347,1.536,1.735,2.064,98.465
"20 SEP2011",1.500,0.000,1.500,1.500,2.250,0.750,"_",1.061,1.349,1.537,1.737,2.065,98.633
"21 SEP2011","_","_","_","_",2.250,0.750,"_",1.061,1.351,1.537,1.736,2.065,98.673
"22 SEP2011","_","_","_","_",2.250,0.750,"_",1.040,1.350,1.536,1.734,2.060,98.723
"23 SEP2011","_","_","_","_",2.250,0.750,"_",1.055,1.350,1.537,1.735,2.060,98.925
"26 SEP2011","_","_","_","_",2.250,0.750,"_",1.058,1.349,1.535,1.732,2.057,98.905
"27 SEP2011",1.500,0.000,1.500,1.500,2.250,0.750,"_",1.071,1.351,1.537,1.738,2.064,98.830
"28 SEP2011","_","_","_","_",2.250,0.750,"_",1.069,1.357,1.544,1.746,2.075,98.750
"29 SEP2011","_","_","_","_",2.250,0.750,"_",1.057,1.356,1.550,1.750,2.081,98.755
"30 SEP2011","_","_","_","_",2.250,0.750,"_",1.463,1.356,1.554,1.753,2.084,98.750
"03 OCT2011","_","_","_","_",2.250,0.750,"_",1.071,1.355,1.557,1.757,2.085,98.745
"04 OCT2011",1.500,0.000,1.500,1.500,2.250,0.750,"_",0.997,1.354,1.557,1.756,2.083,98.730
"05 OCT2011","_","_","_","_",2.250,0.750,"_",0.970,1.354,1.558,1.758,2.083,98.760
"06 OCT2011","_","_","_","_",2.250,0.750,"_",0.947,1.353,1.556,1.755,2.082,98.655
"07 OCT2011","_","_","_","_",2.250,0.750,"_",0.919,1.362,1.566,1.765,2.100,98.675
"10 OCT2011","_","_","_","_",2.250,0.750,"_",0.892,1.362,1.567,1.768,2.102,98.625
"11 OCT2011",1.500,0.000,1.500,1.500,2.250,0.750,"_",1.220,1.365,1.570,1.771,2.106,98.640
"12 OCT2011","_","_","_","_",2.250,0.750,"_",0.986,1.365,1.571,1.774,2.109,98.610
"13 OCT2011","_","_","_","_",2.250,0.750,"_",0.958,1.365,1.572,1.775,2.111,98.620
"14 OCT2011","_","_","_","_",2.250,0.750,"_",0.930,1.366,1.574,1.777,2.115,98.605
"17 OCT2011","_","_","_","_",2.250,0.750,"_",0.928,1.367,1.578,1.782,2.122,98.625
"18 OCT2011",1.500,0.000,1.500,1.500,2.250,0.750,"_",0.924,1.365,1.579,1.780,2.117,98.605
"19 OCT2011","_","_","_","_",2.250,0.750,"_",0.949,1.368,1.582,1.783,2.122,98.600
"20 OCT2011","_","_","_","_",2.250,0.750,"_",0.932,1.367,1.584,1.785,2.123,98.585
"21 OCT2011","_","_","_","_",2.250,0.750,"_",0.937,1.368,1.585,1.785,2.122,98.585
"24 OCT2011","_","_","_","_",2.250,0.750,"_",0.934,1.368,1.588,1.785,2.121,98.600
"25 OCT2011",1.500,0.000,1.500,1.500,2.250,0.750,"_",0.932,1.367,1.588,1.788,2.124,98.620
"26 OCT2011","_","_","_","_",2.250,0.750,"_",0.946,1.364,1.588,1.785,2.117,98.625
"27 OCT2011","_","_","_","_",2.250,0.750,"_",0.923,1.365,1.590,1.788,2.119,98.580
"28 OCT2011","_","_","_","_",2.250,0.750,"_",0.919,1.366,1.592,1.793,2.129,98.595
"31 OCT2011",1.500,0.000,1.500,1.500,2.250,0.750,"_",0.937,1.367,1.591,1.788,2.121,98.645
"01 NOV2011","_","_","_","_",2.250,0.750,"_",0.872,1.362,1.585,1.782,2.111,98.685
"02 NOV2011","_","_","_","_",2.250,0.750,"_",0.899,1.361,1.584,1.780,2.109,98.700
"03 NOV2011","_","_","_","_",2.250,0.750,"_",0.909,1.360,1.580,1.776,2.105,98.775
"04 NOV2011","_","_","_","_",2.250,0.750,"_",0.892,1.247,1.488,1.701,2.044,98.705
"07 NOV2011","_","_","_","_",2.250,0.750,"_",0.885,1.223,1.476,1.695,2.039,98.705
"08 NOV2011",1.250,-0.250,1.250,1.250,2.250,0.750,"_",1.219,1.215,1.474,1.692,2.040,98.660
"09 NOV2011","_","_","_","_",2.000,0.500,"_",0.769,1.209,1.470,1.691,2.036,98.685
"10 NOV2011","_","_","_","_",2.000,0.500,"_",0.736,1.204,1.464,1.689,2.033,98.685
"11 NOV2011","_","_","_","_",2.000,0.500,"_",0.733,1.201,1.462,1.688,2.032,98.710
"14 NOV2011","_","_","_","_",2.000,0.500,"_",0.738,1.200,1.459,1.685,2.026,98.735
"15 NOV2011",1.250,0.000,1.250,1.250,2.000,0.500,"_",0.733,1.200,1.457,1.685,2.022,98.730
"16 NOV2011","_","_","_","_",2.000,0.500,"_",0.728,1.199,1.458,1.686,2.021,98.670
"17 NOV2011","_","_","_","_",2.000,0.500,"_",0.709,1.200,1.460,1.690,2.024,98.605
"18 NOV2011","_","_","_","_",2.000,0.500,"_",0.722,1.199,1.465,1.694,2.031,98.625
"21 NOV2011","_","_","_","_",2.000,0.500,"_",0.705,1.199,1.467,1.694,2.029,98.625
"22 NOV2011",1.250,0.000,1.250,1.250,2.000,0.500,"_",0.724,1.198,1.467,1.695,2.030,98.618
"23 NOV2011","_","_","_","_",2.000,0.500,"_",0.722,1.198,1.471,1.698,2.033,98.595
"24 NOV2011","_","_","_","_",2.000,0.500,"_",0.719,1.196,1.474,1.702,2.038,98.610
"25 NOV2011","_","_","_","_",2.000,0.500,"_",0.730,1.197,1.475,1.705,2.042,98.610
"28 NOV2011","_","_","_","_",2.000,0.500,"_",0.713,1.197,1.477,1.707,2.044,98.635
"29 NOV2011",1.250,0.000,1.250,1.250,2.000,0.500,"_",0.718,1.210,1.477,1.706,2.042,98.690
"30 NOV2011","_","_","_","_",2.000,0.500,"_",0.805,1.210,1.473,1.701,2.035,98.690
"01 DIC2011","_","_","_","_",2.000,0.500,"_",0.736,1.205,1.469,1.697,2.030,98.770
"02 DIC2011","_","_","_","_",2.000,0.500,"_",0.725,1.205,1.469,1.699,2.033,98.715
"05 DIC2011","_","_","_","_",2.000,0.500,"_",0.733,1.206,1.470,1.703,2.036,98.705
"06 DIC2011",1.250,0.000,1.250,1.250,2.000,0.500,"_",0.755,1.205,1.472,1.705,2.040,98.695
"07 DIC2011","_","_","_","_",2.000,0.500,"_",0.747,1.205,1.472,1.703,2.039,98.720
"08 DIC2011","_","_","_","_",2.000,0.500,"_",0.727,1.201,1.470,1.701,2.034,98.610
"09 DIC2011","_","_","_","_",2.000,0.500,"_",0.735,1.169,1.437,1.675,2.012,98.585
"12 DIC2011","_","_","_","_",2.000,0.500,"_",0.696,1.155,1.430,1.675,2.008,98.590
"13 DIC2011",1.000,-0.250,1.000,1.000,2.000,0.500,"_",1.018,1.146,1.426,1.673,2.008,98.585
"14 DIC2011","_","_","_","_",1.750,0.250,"_",0.579,1.140,1.423,1.669,2.005,98.585
"15 DIC2011","_","_","_","_",1.750,0.250,"_",0.571,1.139,1.419,1.667,2.001,98.590
"16 DIC2011","_","_","_","_",1.750,0.250,"_",0.569,1.137,1.417,1.667,2.001,98.585
"19 DIC2011","_","_","_","_",1.750,0.250,"_",0.583,1.138,1.418,1.668,2.002,98.670
"20 DIC2011",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.605,1.138,1.418,1.667,2.000,98.890
"21 DIC2011","_","_","_","_",1.750,0.250,"_",0.611,1.131,1.416,1.666,1.997,98.840
"22 DIC2011","_","_","_","_",1.750,0.250,"_",0.509,1.121,1.410,1.662,1.995,98.820
"23 DIC2011","_","_","_","_",1.750,0.250,"_",0.422,1.109,1.404,1.658,1.988,98.840
"26 DIC2011","_","_","_","_",1.750,0.250,"_","_","_","_","_","_","_"
"27 DIC2011",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.417,1.097,1.396,1.648,1.976,98.885
"28 DIC2011","_","_","_","_",1.750,0.250,"_",0.402,1.083,1.387,1.640,1.967,98.885
"29 DIC2011","_","_","_","_",1.750,0.250,"_",0.399,1.048,1.369,1.625,1.955,98.910
"30 DIC2011","_","_","_","_",1.750,0.250,"_",0.629,1.024,1.356,1.617,1.947,98.915
"02 ENE2012","_","_","_","_",1.750,0.250,"_",0.390,1.005,1.343,1.606,1.937,98.910
"03 ENE2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.396,0.988,1.333,1.598,1.930,98.905
"04 ENE2012","_","_","_","_",1.750,0.250,"_",0.395,0.970,1.319,1.586,1.918,98.945
"05 ENE2012","_","_","_","_",1.750,0.250,"_",0.369,0.951,1.303,1.573,1.903,98.975
"06 ENE2012","_","_","_","_",1.750,0.250,"_",0.357,0.930,1.288,1.560,1.890,98.990
"09 ENE2012","_","_","_","_",1.750,0.250,"_",0.372,0.912,1.276,1.553,1.882,98.995
"10 ENE2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.371,0.894,1.267,1.545,1.875,98.970
"11 ENE2012","_","_","_","_",1.750,0.250,"_",0.375,0.878,1.257,1.538,1.868,98.990
"12 ENE2012","_","_","_","_",1.750,0.250,"_",0.378,0.864,1.245,1.527,1.856,99.025
"13 ENE2012","_","_","_","_",1.750,0.250,"_",0.385,0.845,1.231,1.514,1.842,99.065
"16 ENE2012","_","_","_","_",1.750,0.250,"_",0.386,0.829,1.222,1.501,1.832,99.060
"17 ENE2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.379,0.812,1.213,1.494,1.826,99.035
"18 ENE2012","_","_","_","_",1.750,0.250,"_",0.391,0.800,1.204,1.486,1.818,99.030
"19 ENE2012","_","_","_","_",1.750,0.250,"_",0.374,0.788,1.195,1.480,1.812,99.035
"20 ENE2012","_","_","_","_",1.750,0.250,"_",0.394,0.775,1.182,1.471,1.804,99.080
"23 ENE2012","_","_","_","_",1.750,0.250,"_",0.371,0.764,1.168,1.460,1.793,99.120
"24 ENE2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.378,0.752,1.158,1.451,1.784,99.090
"25 ENE2012","_","_","_","_",1.750,0.250,"_",0.379,0.743,1.149,1.446,1.779,99.105
"26 ENE2012","_","_","_","_",1.750,0.250,"_",0.377,0.734,1.142,1.439,1.773,99.095
"27 ENE2012","_","_","_","_",1.750,0.250,"_",0.379,0.728,1.138,1.433,1.768,99.040
"30 ENE2012","_","_","_","_",1.750,0.250,"_",0.385,0.721,1.131,1.425,1.762,99.060
"31 ENE2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.380,0.713,1.125,1.418,1.754,99.110
"01 FEB2012","_","_","_","_",1.750,0.250,"_",0.363,0.701,1.115,1.409,1.745,99.150
"02 FEB2012","_","_","_","_",1.750,0.250,"_",0.366,0.691,1.108,1.401,1.737,99.140
"03 FEB2012","_","_","_","_",1.750,0.250,"_",0.377,0.682,1.102,1.396,1.732,99.100
"06 FEB2012","_","_","_","_",1.750,0.250,"_",0.366,0.674,1.094,1.391,1.725,99.110
"07 FEB2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.367,0.664,1.086,1.385,1.717,98.958
"08 FEB2012","_","_","_","_",1.750,0.250,"_",0.362,0.655,1.077,1.377,1.710,99.105
"09 FEB2012","_","_","_","_",1.750,0.250,"_",0.367,0.647,1.070,1.370,1.702,99.095
"10 FEB2012","_","_","_","_",1.750,0.250,"_",0.362,0.641,1.063,1.365,1.697,99.080
"13 FEB2012","_","_","_","_",1.750,0.250,"_",0.364,0.633,1.057,1.359,1.691,99.075
"14 FEB2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.371,0.626,1.051,1.352,1.684,99.090
"15 FEB2012","_","_","_","_",1.750,0.250,"_",0.371,0.620,1.045,1.345,1.675,99.085
"16 FEB2012","_","_","_","_",1.750,0.250,"_",0.371,0.615,1.041,1.339,1.669,99.070
"17 FEB2012","_","_","_","_",1.750,0.250,"_",0.364,0.610,1.036,1.334,1.664,99.075
"20 FEB2012","_","_","_","_",1.750,0.250,"_",0.360,0.603,1.031,1.328,1.658,99.090
"21 FEB2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.362,0.600,1.026,1.321,1.652,99.095
"22 FEB2012","_","_","_","_",1.750,0.250,"_",0.359,0.595,1.021,1.315,1.648,99.090
"23 FEB2012","_","_","_","_",1.750,0.250,"_",0.364,0.592,1.014,1.309,1.642,99.080
"24 FEB2012","_","_","_","_",1.750,0.250,"_",0.368,0.585,1.006,1.301,1.636,99.095
"27 FEB2012","_","_","_","_",1.750,0.250,"_",0.360,0.576,0.997,1.292,1.627,99.125
"28 FEB2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.360,0.572,0.991,1.285,1.620,99.125
"29 FEB2012","_","_","_","_",1.750,0.250,"_",0.374,0.564,0.983,1.279,1.614,99.135
"01 MAR2012","_","_","_","_",1.750,0.250,"_",0.370,0.549,0.967,1.267,1.599,99.145
"02 MAR2012","_","_","_","_",1.750,0.250,"_",0.360,0.532,0.948,1.254,1.584,99.205
"05 MAR2012","_","_","_","_",1.750,0.250,"_",0.351,0.521,0.934,1.242,1.572,99.175
"06 MAR2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.342,0.511,0.920,1.229,1.561,99.165
"07 MAR2012","_","_","_","_",1.750,0.250,"_",0.355,0.504,0.911,1.221,1.552,99.170
"08 MAR2012","_","_","_","_",1.750,0.250,"_",0.359,0.495,0.902,1.213,1.544,99.160
"09 MAR2012","_","_","_","_",1.750,0.250,"_",0.362,0.490,0.894,1.203,1.535,99.160
"12 MAR2012","_","_","_","_",1.750,0.250,"_",0.355,0.482,0.884,1.193,1.527,99.160
"13 MAR2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.355,0.477,0.876,1.183,1.519,99.150
"14 MAR2012","_","_","_","_",1.750,0.250,"_",0.363,0.472,0.871,1.177,1.513,99.148
"15 MAR2012","_","_","_","_",1.750,0.250,"_",0.356,0.465,0.862,1.168,1.505,99.150
"16 MAR2012","_","_","_","_",1.750,0.250,"_",0.361,0.458,0.853,1.158,1.495,99.305
"19 MAR2012","_","_","_","_",1.750,0.250,"_",0.359,0.452,0.842,1.146,1.485,99.340
"20 MAR2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.350,0.447,0.832,1.136,1.474,99.283
"21 MAR2012","_","_","_","_",1.750,0.250,"_",0.348,0.442,0.824,1.127,1.464,99.370
"22 MAR2012","_","_","_","_",1.750,0.250,"_",0.352,0.436,0.817,1.120,1.455,99.355
"23 MAR2012","_","_","_","_",1.750,0.250,"_",0.359,0.433,0.808,1.112,1.448,99.365
"26 MAR2012","_","_","_","_",1.750,0.250,"_",0.349,0.429,0.800,1.103,1.440,99.380
"27 MAR2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.353,0.426,0.794,1.097,1.433,99.370
"28 MAR2012","_","_","_","_",1.750,0.250,"_",0.352,0.423,0.787,1.090,1.426,99.365
"29 MAR2012","_","_","_","_",1.750,0.250,"_",0.349,0.420,0.783,1.084,1.420,99.330
"30 MAR2012","_","_","_","_",1.750,0.250,"_",0.388,0.419,0.777,1.078,1.416,99.330
"02 ABR2012","_","_","_","_",1.750,0.250,"_",0.347,0.417,0.771,1.072,1.410,99.340
"03 ABR2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.343,0.416,0.770,1.070,1.407,99.320
"04 ABR2012","_","_","_","_",1.750,0.250,"_",0.353,0.415,0.768,1.067,1.405,99.305
"05 ABR2012","_","_","_","_",1.750,0.250,"_",0.352,0.414,0.766,1.064,1.402,99.255
"06 ABR2012","_","_","_","_","_","_","_","_","_","_","_","_","_"
"09 ABR2012","_","_","_","_","_","_","_","_","_","_","_","_","_"
"10 ABR2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.347,0.414,0.764,1.061,1.398,99.285
"11 ABR2012","_","_","_","_",1.750,0.250,"_",0.350,0.412,0.760,1.057,1.393,99.290
"12 ABR2012","_","_","_","_",1.750,0.250,"_",0.341,0.411,0.757,1.053,1.387,99.320
"13 ABR2012","_","_","_","_",1.750,0.250,"_",0.346,0.410,0.753,1.048,1.381,99.315
"16 ABR2012","_","_","_","_",1.750,0.250,"_",0.346,0.409,0.750,1.044,1.375,99.300
"17 ABR2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.349,0.408,0.746,1.041,1.372,99.320
"18 ABR2012","_","_","_","_",1.750,0.250,"_",0.346,0.408,0.741,1.038,1.364,99.335
"19 ABR2012","_","_","_","_",1.750,0.250,"_",0.347,0.407,0.737,1.033,1.357,99.325
"20 ABR2012","_","_","_","_",1.750,0.250,"_",0.344,0.407,0.734,1.029,1.352,99.325
"23 ABR2012","_","_","_","_",1.750,0.250,"_",0.338,0.406,0.731,1.027,1.348,99.315
"24 ABR2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.338,0.406,0.727,1.024,1.342,99.335
"25 ABR2012","_","_","_","_",1.750,0.250,"_",0.337,0.404,0.724,1.018,1.335,99.350
"26 ABR2012","_","_","_","_",1.750,0.250,"_",0.343,0.402,0.720,1.013,1.329,99.375
"27 ABR2012","_","_","_","_",1.750,0.250,"_",0.346,0.402,0.715,1.007,1.321,99.390
"30 ABR2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.344,0.400,0.708,0.998,1.311,99.348
"01 MAY2012","_","_","_","_","_","_","_","_","_","_","_","_","_"
"02 MAY2012","_","_","_","_",1.750,0.250,"_",0.343,0.401,0.704,0.992,1.303,99.410
"03 MAY2012","_","_","_","_",1.750,0.250,"_",0.343,0.399,0.700,0.988,1.295,99.390
"04 MAY2012","_","_","_","_",1.750,0.250,"_",0.343,0.399,0.697,0.985,1.288,99.395
"07 MAY2012","_","_","_","_",1.750,0.250,"_",0.348,0.399,0.693,0.982,1.284,99.385
"08 MAY2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.346,0.398,0.692,0.980,1.281,99.360
"09 MAY2012","_","_","_","_",1.750,0.250,"_",0.344,0.397,0.691,0.978,1.277,99.335
"10 MAY2012","_","_","_","_",1.750,0.250,"_",0.348,0.397,0.690,0.977,1.276,99.345
"11 MAY2012","_","_","_","_",1.750,0.250,"_",0.341,0.398,0.690,0.977,1.276,99.325
"14 MAY2012","_","_","_","_",1.750,0.250,"_",0.346,0.397,0.689,0.978,1.276,99.300
"15 MAY2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.340,0.396,0.687,0.975,1.272,99.320
"16 MAY2012","_","_","_","_",1.750,0.250,"_",0.330,0.395,0.685,0.974,1.268,99.330
"17 MAY2012","_","_","_","_",1.750,0.250,"_",0.320,0.395,0.686,0.975,1.267,99.320
"18 MAY2012","_","_","_","_",1.750,0.250,"_",0.337,0.394,0.684,0.972,1.265,99.320
"21 MAY2012","_","_","_","_",1.750,0.250,"_",0.337,0.393,0.682,0.969,1.264,99.330
"22 MAY2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.336,0.392,0.681,0.966,1.259,99.335
"23 MAY2012","_","_","_","_",1.750,0.250,"_",0.335,0.392,0.680,0.964,1.255,99.325
"24 MAY2012","_","_","_","_",1.750,0.250,"_",0.335,0.389,0.677,0.960,1.250,99.360
"25 MAY2012","_","_","_","_",1.750,0.250,"_",0.323,0.387,0.675,0.956,1.246,99.365
"28 MAY2012","_","_","_","_",1.750,0.250,"_",0.322,0.387,0.673,0.954,1.242,99.360
"29 MAY2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.335,0.386,0.673,0.951,1.240,99.365
"30 MAY2012","_","_","_","_",1.750,0.250,"_",0.333,0.387,0.671,0.949,1.237,99.380
"31 MAY2012","_","_","_","_",1.750,0.250,"_",0.329,0.386,0.668,0.946,1.232,99.385
"01 JUN2012","_","_","_","_",1.750,0.250,"_",0.337,0.384,0.665,0.943,1.228,99.395
"04 JUN2012","_","_","_","_",1.750,0.250,"_",0.332,0.382,0.664,0.941,1.224,99.375
"05 JUN2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.335,0.382,0.663,0.940,1.223,99.375
"06 JUN2012","_","_","_","_",1.750,0.250,"_",0.310,0.381,0.663,0.939,1.221,99.350
"07 JUN2012","_","_","_","_",1.750,0.250,"_",0.312,0.383,0.663,0.940,1.223,99.345
"08 JUN2012","_","_","_","_",1.750,0.250,"_",0.331,0.383,0.663,0.939,1.222,99.350
"11 JUN2012","_","_","_","_",1.750,0.250,"_",0.336,0.383,0.661,0.937,1.222,99.345
"12 JUN2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.336,0.383,0.661,0.937,1.223,99.335
"13 JUN2012","_","_","_","_",1.750,0.250,"_",0.335,0.384,0.662,0.939,1.224,99.335
"14 JUN2012","_","_","_","_",1.750,0.250,"_",0.331,0.383,0.663,0.941,1.226,99.330
"15 JUN2012","_","_","_","_",1.750,0.250,"_",0.329,0.382,0.662,0.939,1.226,99.338
"18 JUN2012","_","_","_","_",1.750,0.250,"_",0.334,0.381,0.659,0.934,1.221,99.340
"19 JUN2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.333,0.379,0.657,0.930,1.214,99.475
"20 JUN2012","_","_","_","_",1.750,0.250,"_",0.326,0.379,0.657,0.930,1.214,99.485
"21 JUN2012","_","_","_","_",1.750,0.250,"_",0.329,0.378,0.655,0.929,1.214,99.505
"22 JUN2012","_","_","_","_",1.750,0.250,"_",0.325,0.377,0.654,0.928,1.212,99.515
"25 JUN2012","_","_","_","_",1.750,0.250,"_",0.328,0.376,0.653,0.926,1.212,99.453
"26 JUN2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.330,0.376,0.653,0.928,1.213,99.500
"27 JUN2012","_","_","_","_",1.750,0.250,"_",0.331,0.376,0.652,0.926,1.212,99.505
"28 JUN2012","_","_","_","_",1.750,0.250,"_",0.331,0.374,0.653,0.929,1.213,99.495
"29 JUN2012","_","_","_","_",1.750,0.250,"_",0.382,0.373,0.653,0.930,1.213,99.490
"02 JUL2012","_","_","_","_",1.750,0.250,"_",0.329,0.372,0.652,0.928,1.213,99.510
"03 JUL2012",1.000,0.000,1.000,1.000,1.750,0.250,"_",0.332,0.371,0.650,0.926,1.210,99.525
"04 JUL2012","_","_","_","_",1.750,0.250,"_",0.332,0.367,0.645,0.923,1.206,99.520
"05 JUL2012","_","_","_","_",1.750,0.250,"_",0.331,0.362,0.641,0.920,1.202,99.570
"06 JUL2012","_","_","_","_",1.750,0.250,"_",0.329,0.255,0.549,0.831,1.118,99.570
"09 JUL2012","_","_","_","_",1.750,0.250,"_",0.325,0.235,0.531,0.817,1.104,99.550
"10 JUL2012",0.750,-0.250,0.750,0.750,1.500,0.000,"_",0.323,0.223,0.521,0.805,1.095,99.565
"11 JUL2012","_","_","_","_",1.500,0.000,"_",0.131,0.213,0.512,0.795,1.084,99.585
"12 JUL2012","_","_","_","_",1.500,0.000,"_",0.128,0.202,0.497,0.779,1.066,99.528
"13 JUL2012","_","_","_","_",1.500,0.000,"_",0.117,0.194,0.486,0.767,1.054,99.640
"16 JUL2012","_","_","_","_",1.500,0.000,"_",0.114,0.187,0.477,0.760,1.044,99.630
"17 JUL2012",0.750,0.000,0.750,0.750,1.500,0.000,"_",0.119,0.183,0.470,0.754,1.036,99.620
"18 JUL2012","_","_","_","_",1.500,0.000,"_",0.119,0.179,0.464,0.748,1.030,99.635
"19 JUL2012","_","_","_","_",1.500,0.000,"_",0.120,0.177,0.458,0.743,1.021,99.635
"20 JUL2012","_","_","_","_",1.500,0.000,"_",0.115,0.176,0.451,0.735,1.011,99.645
