"","SI_2_2.1","SI_2_2.2","SI_2_2.3","SI_2_2.4","SI_2_2.5","SI_2_2.6","SI_2_2.7","SI_2_2.8","SI_2_2.9","SI_2_2.10","SI_2_2.11","SI_2_2.12","SI_2_2.13"
"NÚMERO SECUENCIAL",905832,905833,905834,905835,905836,905837,3775808,905838,905839,905840,905841,905842,905843
"DESCRIPCIÓN DE LA SERIE","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. VARIACIÓN DEL TIPO MÍNIMO","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MARGINAL","INTERVENCIÓN BCE. TIPO SUBASTA PRINCIPAL. TIPO MEDIO","INTERVENCIÓN BCE. TIPO FACILIDAD DE CRÉDITO","INTERVENCIÓN BCE. TIPO FACILIDAD DE DEPÓSITO","ECONOMIA MUNDIAL. TIPO DE INTERÉS DÍA A DÍA. MERCADOS UEM. INTERBANCARIO. ESTER. BCE. ","MERCADOS MONETARIOS. TIPO EONIA","MERCADOS MONETARIOS. EURIBOR 1 MES","MERCADOS MONETARIOS. EURIBOR 3 MESES","MERCADOS MONETARIOS. EURIBOR 6 MESES","MERCADOS MONETARIOS. EURIBOR 12 MESES","FUTUROS EURIBOR 3 MESES. PRIMER VENCIMIENTO"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Céntimos de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"20 OCT2015",0.050,0.000,0.050,0.050,0.300,-0.200,"_",-0.139,-0.117,-0.053,0.018,0.129,100.055
"21 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.136,-0.118,-0.053,0.019,0.130,100.060
"22 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.139,-0.118,-0.053,0.019,0.129,100.075
"23 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.134,-0.119,-0.061,0.010,0.114,100.075
"26 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.144,-0.119,-0.064,0.008,0.110,100.075
"27 OCT2015",0.050,0.000,0.050,0.050,0.300,-0.200,"_",-0.137,-0.119,-0.066,0.008,0.108,100.085
"28 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.145,-0.119,-0.067,0.006,0.104,100.070
"29 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.143,-0.119,-0.068,0.004,0.104,100.075
"30 OCT2015","_","_","_","_",0.300,-0.200,"_",-0.129,-0.119,-0.068,0.006,0.107,100.085
"02 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.129,-0.119,-0.066,0.007,0.109,100.080
"03 NOV2015",0.050,0.000,0.050,0.050,0.300,-0.200,"_",-0.134,-0.121,-0.069,0.003,0.106,100.080
"04 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.130,-0.122,-0.069,0.000,0.101,100.075
"05 NOV2015","_","_","_","_",0.300,-0.200,"_",-0.129,-0.123,-0.071,0.001,0.098,100.080
