Date,Last,Open,Max,Min,Vol_K,Var_%
2016-12-29,404.75,403.5,407.0,402.75,,0.75
2016-12-28,401.75,409.75,410.0,400.5,,-2.01
2016-12-27,410.0,395.25,411.0,395.25,,3.96
2016-12-23,394.38,397.5,398.25,392.75,,-0.6
2016-12-22,396.75,399.0,400.5,396.75,,-0.69
2016-12-21,399.5,402.75,404.5,399.25,,-0.87
2016-12-20,403.0,406.0,407.75,400.5,,-0.56
2016-12-19,405.25,412.5,413.25,403.25,,-0.86
2016-12-16,408.75,408.5,410.5,404.75,,-0.06
2016-12-15,409.0,417.75,418.0,408.75,,-2.21
2016-12-14,418.25,416.5,418.25,413.25,,0.06
2016-12-13,418.0,416.62,420.75,414.5,,0.3
2016-12-12,416.75,415.25,416.75,408.75,,0.18
2016-12-09,416.0,409.25,416.38,404.0,,2.02
2016-12-08,407.75,402.38,409.25,402.0,,1.62
2016-12-07,401.25,406.75,407.5,399.75,,-1.41
2016-12-06,407.0,409.5,413.0,406.25,,-0.37
2016-12-05,408.5,405.25,410.0,404.75,,1.36
2016-12-02,403.0,397.75,403.0,396.75,,1.83
2016-12-01,395.75,403.75,404.5,393.25,,-1.8
2016-11-30,403.0,409.5,414.0,403.0,,-1.29
2016-11-29,408.25,415.25,415.5,408.0,,-2.33
2016-11-28,418.0,420.5,421.25,414.5,,5.36
2016-11-25,396.75,401.62,403.5,396.75,,-1.18
2016-11-23,401.5,407.0,407.25,396.62,,-1.17
2016-11-22,406.25,410.5,411.75,406.25,,-1.1
2016-11-21,410.75,409.0,412.0,404.75,,0.49
2016-11-18,408.75,403.0,410.0,400.5,,1.36
2016-11-17,403.25,398.25,406.25,396.75,,1.57
2016-11-16,397.0,400.0,401.0,397.0,,-0.5
2016-11-15,399.0,394.75,402.0,393.0,,1.27
2016-11-14,394.0,403.5,403.75,392.75,,-1.99
2016-11-11,402.0,405.75,407.5,401.25,,-0.74
2016-11-10,405.0,408.5,414.25,402.5,,-0.67
2016-11-09,407.75,416.0,417.75,404.0,,-1.63
2016-11-08,414.5,410.5,419.75,408.38,,1.47
2016-11-07,408.5,414.12,415.75,406.75,,-1.39
2016-11-04,414.25,411.75,415.25,410.5,,0.67
2016-11-03,411.5,417.75,420.0,409.5,,-1.67
2016-11-02,418.5,414.38,420.25,412.25,,1.09
2016-11-01,414.0,416.0,418.25,411.0,,-0.3
2016-10-31,415.25,410.75,416.75,409.25,,1.78
2016-10-28,408.0,415.75,417.5,407.62,,-1.69
2016-10-27,415.0,412.0,418.75,411.75,,0.79
2016-10-26,411.75,403.5,414.12,403.0,,1.73
2016-10-25,404.75,403.75,406.5,398.88,,0.31
2016-10-24,403.5,413.5,416.88,400.75,,-2.65
2016-10-21,414.5,416.75,418.25,413.5,,-0.6
2016-10-20,417.0,420.12,422.75,415.5,,-0.71
2016-10-19,420.0,420.12,422.5,414.0,,0.12
2016-10-18,419.5,425.0,425.5,418.5,,-1.12
2016-10-17,424.25,418.75,425.5,416.25,,0.83
2016-10-14,420.75,415.5,428.25,415.25,,1.02
2016-10-13,416.5,397.75,417.0,397.5,,4.78
2016-10-12,397.5,404.88,414.0,396.25,,-2.39
2016-10-11,407.25,404.0,408.75,401.5,,0.74
2016-10-10,404.25,397.25,405.38,397.25,,2.34
2016-10-07,395.0,397.25,401.0,394.5,,-0.06
2016-10-06,395.25,407.75,409.5,393.5,,-2.53
2016-10-05,405.5,395.5,408.25,392.0,,2.46
2016-10-04,395.75,395.75,398.25,393.0,,-0.25
2016-10-03,396.75,400.5,401.75,391.75,,-1.24
2016-09-30,401.75,398.75,403.88,390.25,,0.69
2016-09-29,399.0,402.5,406.75,398.0,,-1.09
2016-09-28,403.38,404.75,407.25,402.0,,-0.22
2016-09-27,404.25,398.0,405.0,394.25,,2.08
2016-09-26,396.0,403.75,407.0,395.5,,-2.28
2016-09-23,405.25,404.25,409.5,401.38,,-0.12
2016-09-22,405.75,406.0,411.75,404.5,,-0.61
2016-09-21,408.25,405.0,409.0,402.5,,0.62
2016-09-20,405.75,403.25,410.0,401.5,,0.43
2016-09-19,404.0,404.75,409.0,400.0,,0.03
2016-09-16,403.88,398.75,404.5,394.25,,1.1
2016-09-15,399.5,402.0,406.75,398.25,,-0.68
2016-09-14,402.25,400.75,404.25,395.25,,0.56
2016-09-13,400.0,408.0,410.88,399.25,,-2.14
2016-09-12,408.75,402.5,410.0,400.0,,1.43
2016-09-09,403.0,405.5,406.0,397.12,,-0.74
2016-09-08,406.0,403.0,406.75,398.5,,0.87
2016-09-07,402.5,398.12,405.0,397.5,,1.13
2016-09-06,398.0,398.25,402.75,395.0,,-0.25
2016-09-02,399.0,394.5,401.5,394.5,,1.11
2016-09-01,394.62,391.5,397.25,389.75,,1.84
2016-08-31,387.5,392.88,395.75,387.0,,-1.27
2016-08-30,392.5,397.0,400.75,391.75,,-1.2
2016-08-29,397.25,407.25,407.75,395.5,,3.42
2016-08-26,384.12,401.0,402.38,381.25,,-4.3
2016-08-25,401.38,404.75,408.0,401.38,,-0.77
2016-08-24,404.5,407.88,409.25,403.0,,-0.74
2016-08-23,407.5,414.75,415.0,407.0,,-1.87
2016-08-22,415.25,427.25,429.12,414.75,,-2.87
2016-08-19,427.5,426.62,432.5,422.5,,0.06
2016-08-18,427.25,424.5,428.0,420.0,,0.23
2016-08-17,426.25,423.38,428.38,419.75,,0.65
2016-08-16,423.5,420.88,427.88,414.88,,0.21
2016-08-15,422.62,422.0,430.0,417.25,,0.0
2016-08-12,422.62,416.12,422.62,406.62,,1.59
2016-08-11,416.0,420.5,423.88,413.75,,-1.22
2016-08-10,421.12,415.88,427.5,415.5,,1.11
2016-08-09,416.5,415.75,419.25,411.75,,-0.12
2016-08-08,417.0,419.5,423.5,411.75,,0.39
2016-08-05,415.38,404.0,418.5,404.0,,2.75
2016-08-04,404.25,411.12,416.12,403.75,,-1.4
2016-08-03,410.0,402.75,415.0,401.25,,2.31
2016-08-02,400.75,405.75,410.5,399.38,,-1.48
2016-08-01,406.75,407.75,415.5,406.75,,-0.12
2016-07-29,407.25,411.12,412.75,403.75,,-0.46
2016-07-28,409.12,415.38,420.0,408.5,,-1.42
2016-07-27,415.0,415.62,421.0,414.25,,0.03
2016-07-26,414.88,425.38,429.25,414.25,,-3.4
2016-07-25,429.5,428.25,435.25,421.25,,0.79
2016-07-22,426.12,418.38,426.88,407.25,,1.88
2016-07-21,418.25,413.5,419.75,409.0,,1.33
2016-07-20,412.75,418.25,423.75,406.75,,-1.37
2016-07-19,418.5,427.5,428.25,416.5,,-2.73
2016-07-18,430.25,427.75,431.75,420.62,,1.12
2016-07-15,425.5,434.75,439.75,425.5,,-1.9
2016-07-14,433.75,442.38,448.0,431.38,,-1.64
2016-07-13,441.0,439.38,451.5,437.0,,0.8
2016-07-12,437.5,431.0,439.25,424.0,,1.57
2016-07-11,430.75,437.0,441.88,426.75,,-1.09
2016-07-08,435.5,427.25,439.5,424.0,,2.32
2016-07-07,425.62,430.38,438.75,424.5,,-0.9
2016-07-06,429.5,432.0,434.0,421.25,,-0.46
2016-07-05,431.5,431.25,432.5,416.0,,0.2
2016-07-01,430.62,445.38,445.5,428.25,,-3.88
2016-06-30,448.0,445.75,453.5,438.0,,0.84
2016-06-29,444.25,457.88,460.5,444.0,,-3.06
2016-06-28,458.25,458.38,467.25,456.5,,-0.22
2016-06-27,459.25,464.0,470.25,458.5,,1.32
2016-06-24,453.25,454.5,455.0,442.25,,-0.17
2016-06-23,454.0,459.5,461.5,453.5,,-1.04
2016-06-22,458.75,460.5,465.0,458.5,,0.14
2016-06-21,458.12,473.25,476.5,458.0,,-3.3
2016-06-20,473.75,477.0,479.75,473.75,,-1.61
2016-06-17,481.5,473.25,482.0,472.75,,1.9
2016-06-16,472.5,477.38,479.5,471.25,,-1.25
2016-06-15,478.5,482.88,489.75,478.5,,-1.29
2016-06-14,484.75,491.25,493.38,481.5,,-1.47
2016-06-13,492.0,498.25,503.25,491.5,,-0.61
2016-06-10,495.0,509.0,512.5,494.62,,-2.89
2016-06-09,509.75,517.88,519.0,506.25,,-1.97
2016-06-08,520.0,508.75,523.88,506.25,,2.06
2016-06-07,509.5,506.5,513.5,501.0,,0.34
2016-06-06,507.75,497.75,514.75,497.75,,2.01
2016-06-03,497.75,484.0,498.0,482.5,,2.52
2016-06-02,485.5,474.0,487.0,473.0,,2.53
2016-06-01,473.5,463.38,474.75,463.38,,2.1
2016-05-31,463.75,480.62,483.88,463.75,,-3.69
2016-05-27,481.5,481.38,484.75,479.0,,0.16
2016-05-26,480.75,465.75,481.5,465.5,,3.11
2016-05-25,466.25,464.0,468.88,463.25,,0.38
2016-05-24,464.5,462.75,470.0,458.25,,0.43
2016-05-23,462.5,467.38,469.12,461.25,,-1.23
2016-05-20,468.25,468.75,474.5,464.25,,-0.21
2016-05-19,469.25,478.5,479.75,462.75,,-2.44
2016-05-18,481.0,481.38,484.5,477.25,,-0.1
2016-05-17,481.5,473.5,484.5,473.25,,1.21
2016-05-16,475.75,473.75,476.75,467.75,,0.21
2016-05-13,474.75,468.25,477.5,465.0,,1.44
2016-05-12,468.0,457.62,468.0,457.62,,1.96
2016-05-11,459.0,461.5,464.75,457.0,,-0.7
2016-05-10,462.25,457.38,468.5,455.5,,1.32
2016-05-09,456.25,464.0,467.0,455.0,,-1.78
2016-05-06,464.5,462.62,470.25,462.25,,0.16
2016-05-05,463.75,468.75,472.5,461.88,,-1.96
2016-05-04,473.0,470.75,476.5,469.12,,0.21
2016-05-03,472.0,487.38,492.75,468.5,,-3.1
2016-05-02,487.12,486.75,490.0,481.5,,-0.44
2016-04-29,489.25,483.75,490.75,480.75,,0.72
2016-04-28,485.75,483.75,497.0,481.5,,0.62
2016-04-27,482.75,486.5,489.5,480.5,,-1.13
2016-04-26,488.25,478.12,488.5,474.25,,2.41
2016-04-25,476.75,473.75,485.38,469.0,,2.03
2016-04-22,467.25,492.88,493.12,465.62,,-5.77
2016-04-21,495.88,503.5,510.75,491.0,,-1.42
2016-04-20,503.0,485.25,503.75,485.25,,3.6
2016-04-19,485.5,473.0,487.75,471.25,,2.75
2016-04-18,472.5,461.0,477.0,460.75,,2.66
2016-04-15,460.25,459.25,462.25,455.0,,0.38
2016-04-14,458.5,462.5,465.5,454.5,,-1.24
2016-04-13,464.25,451.75,466.62,450.25,,2.37
2016-04-12,453.5,447.62,457.0,446.75,,1.45
2016-04-11,447.0,457.88,457.88,446.25,,-3.14
2016-04-08,461.5,457.5,462.5,456.5,,0.93
2016-04-07,457.25,463.0,465.25,457.12,,-1.3
2016-04-06,463.25,473.0,473.0,461.75,,-2.16
2016-04-05,473.5,475.0,476.5,470.25,,-0.21
2016-04-04,474.5,476.38,479.0,470.5,,-0.21
