Date,Last,Open,Max,Min,Vol_M,Var_%
2017-12-28,10093.1,10150.3,10162.8,10076.5,97.24,-0.71
2017-12-27,10165.2,10167.2,10213.2,10138.8,96.22,-0.16
2017-12-22,10182.0,10145.6,10235.8,10138.3,138.51,-1.19
2017-12-21,10304.6,10192.6,10322.6,10144.4,152.66,0.95
2017-12-20,10207.7,10242.0,10246.5,10140.5,129.67,-0.26
2017-12-19,10234.3,10239.0,10283.5,10228.4,116.42,-0.1
2017-12-18,10244.1,10197.9,10257.8,10188.1,178.89,0.92
2017-12-15,10150.4,10156.7,10212.3,10113.8,321.6,-0.26
2017-12-14,10176.5,10250.0,10293.1,10176.5,170.19,-0.82
2017-12-13,10260.5,10300.2,10355.0,10260.5,132.94,-0.27
2017-12-12,10288.3,10319.6,10326.2,10248.1,160.15,-0.18
2017-12-11,10306.9,10339.3,10348.8,10285.1,141.87,-0.14
2017-12-08,10321.1,10322.5,10380.3,10316.5,161.04,0.57
2017-12-07,10262.6,10195.8,10271.2,10171.3,129.94,0.77
2017-12-06,10184.0,10156.4,10201.8,10098.1,146.63,-0.27
2017-12-05,10211.3,10204.6,10246.1,10162.3,132.39,0.03
2017-12-04,10208.6,10182.8,10248.4,10127.6,143.88,1.23
2017-12-01,10085.0,10225.5,10225.5,10083.8,183.51,-1.23
2017-11-30,10211.0,10266.6,10323.1,10211.0,270.74,-0.55
2017-11-29,10267.7,10221.8,10314.2,10211.1,216.02,1.22
2017-11-28,10144.4,10083.8,10148.8,10059.5,117.47,0.81
2017-11-27,10063.1,10027.4,10136.6,10014.4,114.37,0.1
2017-11-24,10053.5,10044.9,10125.4,10036.6,111.15,0.21
2017-11-23,10032.8,9994.1,10079.2,9983.2,118.61,0.19
2017-11-22,10013.9,10010.2,10092.4,10005.8,124.9,0.21
2017-11-21,9993.4,10017.4,10072.2,9989.3,146.58,-0.32
2017-11-20,10025.5,9999.7,10061.8,9981.3,115.33,0.15
2017-11-17,10010.4,10074.4,10087.5,9998.7,182.67,-0.78
2017-11-16,10088.7,10074.0,10173.5,10043.1,161.04,0.75
2017-11-15,10013.9,9920.6,10029.8,9889.4,178.55,0.24
2017-11-14,9990.4,10063.6,10101.8,9970.9,143.16,-0.59
2017-11-13,10049.9,10124.0,10124.0,9984.2,143.99,-0.42
2017-11-10,10092.7,10138.6,10168.0,10075.8,158.36,-0.48
2017-11-09,10141.1,10223.2,10244.7,10117.2,163.56,-0.86
2017-11-08,10228.7,10236.2,10242.7,10155.4,173.57,-0.02
2017-11-07,10230.7,10365.7,10376.2,10212.5,166.4,-0.83
2017-11-06,10316.5,10358.1,10358.1,10264.0,131.98,-0.4
2017-11-03,10357.8,10463.3,10464.3,10295.9,190.29,-0.96
2017-11-02,10457.8,10509.0,10538.4,10403.2,155.34,-0.47
2017-11-01,10506.7,10591.4,10594.2,10486.2,200.54,-0.16
2017-10-31,10523.5,10463.2,10570.5,10438.1,238.02,0.74
2017-10-30,10446.0,10321.2,10470.7,10293.0,266.08,2.44
2017-10-27,10197.5,10354.3,10382.4,10136.9,290.37,-1.45
2017-10-26,10347.8,10140.3,10422.7,10121.2,374.89,1.92
2017-10-25,10153.3,10199.0,10273.4,10137.1,180.68,-0.51
2017-10-24,10205.7,10150.6,10235.4,10148.3,157.49,0.44
2017-10-23,10161.4,10202.4,10216.4,10141.4,145.12,-0.6
2017-10-20,10222.7,10202.0,10249.0,10176.5,196.13,0.25
2017-10-19,10197.5,10251.3,10276.6,10167.4,185.4,-0.74
2017-10-18,10273.4,10237.0,10283.5,10165.4,181.89,0.55
2017-10-17,10216.8,10164.9,10297.1,10134.0,167.14,0.35
2017-10-16,10181.4,10244.4,10248.7,10153.9,155.27,-0.75
2017-10-13,10258.0,10298.6,10299.7,10231.5,141.95,-0.17
2017-10-12,10275.9,10284.5,10304.0,10244.8,117.36,-0.02
2017-10-11,10278.4,10304.6,10313.1,10247.3,250.98,1.34
2017-10-10,10142.3,10225.0,10225.0,10107.8,208.2,-0.92
2017-10-09,10236.0,10210.6,10306.8,10206.1,173.27,0.5
2017-10-06,10185.5,10185.2,10214.5,10116.6,207.01,-0.29
2017-10-05,10214.7,9934.3,10259.9,9922.3,327.0,2.51
2017-10-04,9964.9,10226.8,10226.8,9947.3,348.22,-2.85
2017-10-03,10257.5,10250.6,10276.6,10151.1,173.27,0.02
2017-10-02,10255.7,10262.3,10327.2,10185.9,249.45,-1.21
2017-09-29,10381.5,10336.9,10381.5,10277.5,199.15,0.51
2017-09-28,10328.5,10381.2,10406.5,10319.4,178.76,-0.39
2017-09-27,10368.9,10221.3,10398.9,10216.7,218.24,1.76
2017-09-26,10189.6,10203.8,10224.7,10166.7,118.76,-0.26
2017-09-25,10216.5,10270.0,10272.4,10186.7,146.85,-0.86
2017-09-22,10305.0,10286.6,10313.9,10270.9,130.09,0.08
2017-09-21,10297.0,10318.2,10340.8,10266.8,149.86,0.05
2017-09-20,10292.1,10349.0,10375.5,10248.4,146.94,-0.83
2017-09-19,10378.4,10312.2,10399.1,10296.1,129.99,0.39
2017-09-18,10338.4,10358.0,10410.2,10330.1,133.38,0.2
2017-09-15,10317.4,10321.2,10370.8,10287.2,302.2,-0.42
2017-09-14,10361.1,10352.7,10365.1,10284.3,156.38,-0.1
2017-09-13,10371.0,10324.8,10395.1,10308.0,170.75,0.34
2017-09-12,10336.2,10354.5,10372.5,10324.7,129.03,0.13
2017-09-11,10322.6,10199.9,10343.5,10197.8,145.46,1.91
2017-09-08,10129.6,10118.4,10165.7,10087.6,141.95,0.05
2017-09-07,10124.9,10175.2,10189.5,10118.4,179.64,-0.06
2017-09-06,10131.0,10130.9,10176.9,10096.8,132.35,-0.48
2017-09-05,10179.8,10244.7,10287.6,10173.6,136.7,-0.62
2017-09-04,10243.2,10234.1,10274.7,10229.8,83.2,-0.8
2017-09-01,10325.5,10328.8,10366.5,10314.1,103.85,0.25
2017-08-31,10299.5,10279.5,10354.3,10275.1,179.78,0.52
2017-08-30,10245.8,10264.6,10274.3,10216.8,94.78,0.52
2017-08-29,10192.6,10233.2,10244.7,10134.3,147.97,-0.91
2017-08-28,10285.9,10313.7,10360.2,10284.2,51.54,-0.57
2017-08-25,10345.3,10373.9,10419.8,10334.0,71.65,-0.12
2017-08-24,10357.4,10378.7,10421.9,10357.2,98.55,0.19
2017-08-23,10338.1,10414.0,10445.0,10309.8,95.49,-0.69
2017-08-22,10409.8,10425.2,10440.4,10360.2,83.38,0.48
2017-08-21,10360.2,10360.0,10418.2,10330.4,84.93,-0.25
2017-08-18,10385.7,10323.6,10392.5,10284.8,129.45,-0.56
2017-08-17,10443.8,10535.7,10537.1,10428.6,129.09,-0.95
2017-08-16,10544.3,10521.0,10575.9,10517.4,95.93,0.6
2017-08-15,10481.5,10489.0,10508.7,10436.7,79.39,0.19
2017-08-14,10461.2,10329.4,10490.6,10329.3,108.13,1.73
2017-08-11,10282.9,10377.3,10399.0,10252.4,163.18,-1.6
2017-08-10,10450.0,10576.6,10584.3,10416.7,148.11,-1.38
2017-08-09,10596.0,10681.4,10705.9,10525.1,153.53,-1.29
2017-08-08,10734.7,10674.4,10758.2,10665.2,111.26,0.55
2017-08-07,10676.5,10682.8,10689.8,10643.5,90.55,0.17
