,Date,Last,Open,Max,Min,Vol_K,Var_%,Index,dowjones_last_5_avg,dowjones_last_3_avg,dowjones_last_1
1980,2011-12-08,11997.7,12195.91,12195.91,11966.22,165000.88,-1.63,dow_jones,0.248,0.487,0.38
1981,2011-12-07,12196.37,12144.41,12257.67,12060.37,168000.44,0.38,dow_jones,1.02,0.357,0.43
1982,2011-12-06,12150.13,12097.75,12215.71,12076.71,145000.92,0.43,dow_jones,0.99,0.143,0.65
1983,2011-12-05,12097.83,12021.54,12186.53,12021.46,153000.83,0.65,dow_jones,1.378,1.34,-0.01
1984,2011-12-02,12019.42,12022.37,12146.68,12007.12,150000.11,-0.01,dow_jones,1.334,1.437,-0.21
1985,2011-12-01,12020.03,12046.21,12062.64,11974.62,143000.7,-0.21,dow_jones,0.966,2.37,4.24
1986,2011-11-30,12045.68,11559.27,12045.68,11559.27,286000.79,4.24,dow_jones,0.026,0.88,0.28
1987,2011-11-29,11555.63,11523.01,11624.01,11517.04,156000.95,0.28,dow_jones,-0.452,0.103,2.59
1988,2011-11-28,11523.01,11232.47,11562.1,11232.16,204000.95,2.59,dow_jones,-0.926,-0.913,-0.23
1989,2011-11-25,11231.78,11251.88,11361.47,11231.56,87000.48,-0.23,dow_jones,-1.106,-1.54,-2.05
1990,2011-11-23,11257.55,11492.74,11492.82,11257.55,152000.22,-2.05,dow_jones,-1.012,-0.783,-0.46
1991,2011-11-22,11493.72,11542.39,11571.75,11433.97,148000.57,-0.46,dow_jones,-0.892,-1.007,-2.11
1992,2011-11-21,11547.31,11795.55,11795.7,11454.07,170000.96,-2.11,dow_jones,-0.592,-0.83,0.22
1993,2011-11-18,11796.16,11768.98,11854.81,11755.82,181000.24,0.22,dow_jones,-0.198,-0.857,-1.13
1994,2011-11-17,11770.73,11905.67,11948.43,11676.35,169000.83,-1.13,dow_jones,0.22,-0.683,-1.58
1995,2011-11-16,11905.59,12084.74,12109.03,11890.57,166000.22,-1.58,dow_jones,-0.104,0.573,0.14
1996,2011-11-15,12096.16,12077.92,12165.11,12001.26,145000.11,0.14,dow_jones,0.036,0.847,-0.61
1997,2011-11-14,12078.98,12153.0,12170.56,12027.03,119000.61,-0.61,dow_jones,0.3,-0.017,2.19
1998,2011-11-11,12153.68,11896.28,12179.72,11896.28,134000.52,2.19,dow_jones,-0.24,-0.467,0.96
1999,2011-11-10,11893.79,11780.03,11961.14,11779.88,168000.47,0.96,dow_jones,-0.08,-0.55,-3.2
2000,2011-11-09,11780.94,12166.4,12166.4,11736.93,180000.2,-3.2,dow_jones,0.866,0.347,0.84
2001,2011-11-08,12170.18,12055.52,12187.51,12002.17,144000.95,0.84,dow_jones,0.202,0.653,0.71
