,Date,Last,Open,Max,Min,Vol_K,Var_%,Index,dax_last_5_avg,dax_last_3_avg,dax_last_1
2197,2011-02-22,7318.35,7293.11,7350.95,7259.67,121000.3,-0.05,dax_index,-0.2,-0.413,-1.41
2198,2011-02-21,7321.81,7412.06,7441.82,7310.69,100000.85,-1.41,dax_index,0.15,0.12,0.29
2199,2011-02-18,7426.81,7422.11,7427.3,7379.94,122000.19,0.29,dax_index,0.176,0.04,-0.12
2200,2011-02-17,7405.51,7429.0,7434.93,7364.04,112000.23,-0.12,dax_index,0.252,0.193,0.19
2201,2011-02-16,7414.3,7414.23,7438.42,7399.82,122000.45,0.19,dax_index,0.208,0.27,0.05
2202,2011-02-15,7400.04,7397.68,7420.69,7376.24,101000.59,0.05,dax_index,0.306,0.34,0.34
2203,2011-02-14,7396.63,7403.83,7424.36,7378.41,69000.64,0.34,dax_index,0.424,0.217,0.42
2204,2011-02-11,7371.2,7320.07,7390.48,7283.87,96000.1,0.42,dax_index,0.402,0.257,0.26
2205,2011-02-10,7340.28,7322.62,7340.87,7269.53,105000.38,0.26,dax_index,0.378,0.48,-0.03
2206,2011-02-09,7320.9,7319.12,7350.78,7310.44,81000.82,-0.03,dax_index,0.382,0.593,0.54
2207,2011-02-08,7323.24,7274.17,7325.03,7272.8,98000.88,0.54,dax_index,0.576,0.46,0.93
2208,2011-02-07,7283.62,7222.05,7287.66,7214.05,93000.21,0.93,dax_index,0.318,0.147,0.31
2209,2011-02-04,7216.21,7216.66,7226.64,7186.24,94000.08,0.31,dax_index,0.108,0.547,0.14
2210,2011-02-03,7193.68,7175.75,7198.98,7144.08,105000.09,0.14,dax_index,0.16,0.38,-0.01
2211,2011-02-02,7183.67,7202.62,7222.13,7160.36,114000.24,-0.01,dax_index,0.356,0.137,1.51
2212,2011-02-01,7184.27,7133.34,7190.75,7105.31,117000.37,1.51,dax_index,0.03,-0.233,-0.36
2213,2011-01-31,7077.48,7094.56,7107.37,7033.09,93000.02,-0.36,dax_index,0.118,0.21,-0.74
2214,2011-01-28,7102.8,7155.47,7177.23,7102.8,96000.02,-0.74,dax_index,0.374,0.417,0.4
2215,2011-01-27,7155.58,7120.64,7180.15,7114.35,113000.48,0.4,dax_index,0.128,0.31,0.97
