Date,Last,Open,Max,Min,Vol_K,Var_%,Index
2016-11-28,10508.31,10459.04,10605.76,10459.04,,0.47,china_a50
2016-11-25,10459.04,10339.77,10461.82,10305.26,,1.15,china_a50
2016-11-24,10339.77,10310.3,10400.07,10277.0,,0.29,china_a50
2016-11-23,10310.3,10240.61,10366.44,10240.61,,0.68,china_a50
2016-11-22,10240.61,10166.1,10257.52,10166.1,,0.73,china_a50
2016-11-21,10166.1,10046.6,10227.81,10037.76,,1.19,china_a50
2016-11-18,10046.6,10077.34,10110.05,10035.51,,-0.31,china_a50
2016-11-17,10077.34,10060.78,10080.63,10006.28,,0.16,china_a50
2016-11-16,10060.78,10074.05,10090.45,10037.95,,-0.13,china_a50
2016-11-15,10074.05,10092.05,10097.83,10050.83,,-0.18,china_a50
2016-11-14,10092.05,10058.52,10176.12,10033.16,,0.33,china_a50
2016-11-11,10058.52,9997.66,10087.65,9974.43,,0.61,china_a50
2016-11-10,9997.66,9891.89,10038.78,9891.89,,1.07,china_a50
2016-11-09,9891.89,9972.73,9973.4,9809.52,,-0.81,china_a50
2016-11-08,9972.73,9935.17,10019.3,9935.17,,0.38,china_a50
2016-11-07,9935.17,9920.65,9951.89,9897.47,,0.15,china_a50
2016-11-04,9920.65,9938.38,9982.0,9902.59,,-0.18,china_a50
2016-11-03,9938.38,9827.79,9976.51,9806.04,,1.13,china_a50
2016-11-02,9827.79,9911.61,9911.61,9819.75,,-0.85,china_a50
2016-11-01,9911.61,9851.94,9911.62,9835.16,,0.61,china_a50
2016-10-31,9851.94,9870.69,9871.58,9793.89,,-0.19,china_a50
2016-10-28,9870.69,9839.56,9932.91,9839.56,,0.32,china_a50
2016-10-27,9839.56,9865.21,9867.77,9810.15,,-0.26,china_a50
2016-10-26,9865.21,9921.01,9924.1,9857.69,,-0.56,china_a50
2016-10-25,9921.01,9940.57,9954.11,9893.55,,-0.2,china_a50
2016-10-24,9940.57,9830.77,10000.62,9826.01,,1.12,china_a50
2016-10-21,9830.77,9759.95,9849.16,9750.08,,0.73,china_a50
2016-10-20,9759.95,9748.03,9777.66,9739.4,,0.12,china_a50
2016-10-19,9748.03,9758.4,9785.99,9731.38,,-0.11,china_a50
2016-10-18,9758.4,9631.91,9763.9,9620.62,,1.31,china_a50
2016-10-17,9631.91,9703.09,9704.76,9615.51,,-0.73,china_a50
2016-10-14,9703.09,9677.0,9709.84,9653.9,,0.27,china_a50
2016-10-13,9677.0,9680.4,9699.64,9649.52,,-0.04,china_a50
2016-10-12,9680.4,9708.03,9708.53,9659.43,,-0.28,china_a50
2016-10-11,9708.03,9692.13,9723.91,9676.07,,0.16,china_a50
2016-10-10,9692.13,9598.73,9704.3,9598.73,,0.97,china_a50
2016-10-07,9598.73,9598.73,9598.73,9598.73,,0.0,china_a50
2016-10-03,9598.73,9598.73,9598.73,9598.73,,0.0,china_a50
2016-09-30,9598.73,9579.52,9621.57,9564.49,,0.2,china_a50
2016-09-29,9579.52,9534.09,9611.03,9534.09,,0.48,china_a50
2016-09-28,9534.09,9581.14,9584.41,9527.3,,-0.49,china_a50
2016-09-27,9581.14,9535.41,9581.65,9514.99,,0.48,china_a50
2016-09-26,9535.41,9659.31,9659.31,9533.74,,-1.28,china_a50
2016-09-23,9659.31,9678.62,9690.87,9654.14,,-0.2,china_a50
2016-09-22,9678.62,9610.3,9724.45,9610.3,,0.71,china_a50
2016-09-21,9610.3,9595.83,9630.69,9579.26,,0.15,china_a50
2016-09-20,9595.83,9621.73,9626.25,9582.19,,-0.27,china_a50
2016-09-19,9621.73,9557.45,9630.82,9556.4,,0.67,china_a50
2016-09-15,9557.45,9557.45,9557.45,9557.45,,0.0,china_a50
2016-09-14,9557.45,9644.09,9644.09,9542.39,,-0.9,china_a50
2016-09-13,9644.09,9669.61,9673.05,9616.56,,-0.26,china_a50
2016-09-12,9669.61,9811.74,9811.74,9585.63,,-1.45,china_a50
2016-09-09,9811.74,9844.64,9866.01,9808.84,,-0.33,china_a50
2016-09-08,9844.64,9846.1,9858.31,9822.43,,-0.01,china_a50
2016-09-07,9846.1,9835.3,9885.6,9822.65,,0.11,china_a50
2016-09-06,9835.3,9820.9,9879.73,9778.13,,0.15,china_a50
2016-09-05,9820.9,9804.58,9866.94,9799.38,,0.17,china_a50
2016-09-02,9804.58,9767.63,9813.22,9756.17,,0.38,china_a50
2016-09-01,9767.63,9811.09,9828.18,9763.27,,-0.44,china_a50
2016-08-31,9811.09,9771.55,9832.67,9757.89,,0.4,china_a50
2016-08-30,9771.55,9729.71,9796.35,9728.24,,0.43,china_a50
2016-08-29,9729.71,9743.45,9747.54,9682.37,,-0.14,china_a50
2016-08-26,9743.45,9761.43,9796.0,9728.27,,-0.18,china_a50
2016-08-25,9761.43,9798.07,9798.07,9685.45,,-0.37,china_a50
2016-08-24,9798.07,9844.26,9851.58,9777.0,,-0.47,china_a50
2016-08-23,9844.26,9814.47,9911.06,9803.67,,0.3,china_a50
2016-08-22,9814.47,9863.87,9877.54,9803.56,,-0.5,china_a50
2016-08-19,9863.87,9842.22,9883.87,9789.31,,0.22,china_a50
2016-08-18,9842.22,9891.17,9970.32,9802.78,,-0.49,china_a50
2016-08-17,9891.17,9892.85,9967.34,9849.52,,-0.02,china_a50
2016-08-16,9892.85,10027.96,10089.03,9873.1,,-1.35,china_a50
2016-08-15,10027.96,9763.97,10123.12,9763.97,,2.7,china_a50
2016-08-12,9763.97,9571.07,9764.24,9567.67,,2.02,china_a50
2016-08-11,9571.07,9520.12,9693.13,9510.18,,0.54,china_a50
2016-08-10,9520.12,9539.48,9556.22,9514.81,,-0.2,china_a50
2016-08-09,9539.48,9474.17,9545.78,9466.88,,0.69,china_a50
2016-08-08,9474.17,9434.57,9475.59,9384.94,,0.42,china_a50
2016-08-05,9434.57,9408.63,9480.97,9383.96,,0.28,china_a50
2016-08-04,9408.63,9424.85,9431.34,9357.77,,-0.17,china_a50
2016-08-03,9424.85,9436.41,9438.42,9381.29,,-0.12,china_a50
2016-08-02,9436.41,9437.47,9452.77,9395.0,,-0.01,china_a50
2016-08-01,9437.47,9457.03,9470.32,9391.0,,-0.21,china_a50
2016-07-29,9457.03,9470.55,9491.96,9440.32,,-0.14,china_a50
2016-07-28,9470.55,9516.33,9516.99,9442.19,,-0.48,china_a50
2016-07-27,9516.33,9542.21,9555.95,9321.99,,-0.27,china_a50
2016-07-26,9542.21,9447.09,9544.15,9430.93,,1.01,china_a50
2016-07-25,9447.09,9450.34,9487.9,9422.16,,-0.03,china_a50
2016-07-22,9450.34,9542.04,9543.89,9437.46,,-0.96,china_a50
2016-07-21,9542.04,9485.83,9575.48,9484.65,,0.59,china_a50
2016-07-20,9485.83,9526.56,9532.79,9473.06,,-0.43,china_a50
2016-07-19,9526.56,9591.97,9617.7,9478.33,,-0.68,china_a50
