Date,Last,Open,Max,Min,Vol_K,Var_%,Index
2015-02-06,4228.68,4259.98,4271.28,4214.89,167000.84,-0.65,nasdaq
2015-02-05,4256.18,4229.62,4258.0,4220.17,163000.6,0.83,nasdaq
2015-02-04,4221.2,4202.43,4248.84,4198.74,214000.38,-0.19,nasdaq
2015-02-03,4229.15,4201.94,4229.15,4174.23,203000.04,0.97,nasdaq
2015-02-02,4188.59,4162.19,4189.09,4094.73,208000.98,0.97,nasdaq
2015-01-30,4148.43,4178.62,4210.85,4144.03,274000.93,-0.79,nasdaq
2015-01-29,4181.35,4134.52,4189.54,4103.72,216000.73,0.99,nasdaq
2015-01-28,4140.38,4233.74,4235.15,4140.38,241000.77,-0.6,nasdaq
2015-01-27,4165.5,4200.88,4209.4,4151.15,212000.92,-2.58,nasdaq
2015-01-26,4275.72,4271.1,4282.48,4254.47,160000.35,-0.06,nasdaq
2015-01-23,4278.14,4268.53,4292.88,4258.48,150000.75,0.18,nasdaq
2015-01-22,4270.36,4215.0,4274.15,4173.54,198000.4,1.87,nasdaq
2015-01-21,4192.09,4158.13,4211.28,4145.82,172000.84,0.5,nasdaq
2015-01-20,4171.21,4164.43,4181.34,4117.15,179000.53,0.7,nasdaq
2015-01-16,4142.14,4087.88,4143.53,4078.85,219000.41,1.28,nasdaq
2015-01-15,4089.65,4162.1,4169.44,4085.7,193000.25,-1.36,nasdaq
2015-01-14,4145.84,4122.08,4165.0,4108.31,203000.67,-0.49,nasdaq
2015-01-13,4166.2,4212.99,4252.7,4134.94,211000.74,-0.09,nasdaq
2015-01-12,4169.97,4221.52,4223.88,4158.11,175000.8,-1.03,nasdaq
2015-01-09,4213.28,4250.98,4253.97,4188.61,159000.52,-0.64,nasdaq
2015-01-08,4240.55,4195.49,4247.93,4192.63,201000.71,1.94,nasdaq
2015-01-07,4160.0,4139.85,4169.97,4126.39,178000.56,1.2,nasdaq
2015-01-06,4110.83,4174.78,4176.26,4090.33,195000.67,-1.2,nasdaq
2015-01-05,4160.96,4206.55,4210.96,4151.85,191000.88,-1.64,nasdaq
2015-01-02,4230.24,4258.6,4276.72,4206.45,133000.32,-0.14,nasdaq
2014-12-31,4236.28,4294.88,4307.01,4233.7,127000.54,-1.08,nasdaq
2014-12-30,4282.35,4301.15,4309.13,4277.75,92000.96,-0.7,nasdaq
2014-12-29,4312.64,4309.7,4321.2,4306.67,93000.19,-0.03,nasdaq
2014-12-26,4314.1,4295.72,4322.45,4294.8,86000.48,0.72,nasdaq
2014-12-24,4283.1,4283.19,4298.87,4281.8,62000.56,0.09,nasdaq
2014-12-23,4279.3,4308.95,4309.03,4274.51,147000.97,-0.33,nasdaq
2014-12-22,4293.67,4271.87,4295.27,4270.54,174000.17,0.28,nasdaq
2014-12-19,4281.78,4272.75,4300.4,4258.33,471000.29,0.33,nasdaq
2014-12-18,4267.77,4230.35,4267.77,4213.21,202000.46,2.47,nasdaq
2014-12-17,4165.1,4095.75,4175.98,4089.09,190000.53,1.85,nasdaq
